Protein,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top10
B9J08_000357,(pine wood nematode) hypothetical protein,0.0422080245692042,"(pine wood nematode) hypothetical protein [0.0422] | Hypothetical protein [0.0257] | Hypothetical_protein [0.0120] | Zinc finger protein [0.0053] | Enhancer of mRNA-decapping protein 4-like [0.0039] | Hypothetical_protein_-_conserved [0.0027] | DUF3300 domain-containing protein [0.0026] | WGS project CBMG000000000 data, contig CS5907- [0.0025] | Enhancer of polycomb-like protein [0.0020] | Enhancer of mRNA-decapping protein 4 [0.0019]"
B9J08_000361,Hypothetical protein,0.0431269109269952,Hypothetical protein [0.0431] | Metastasis suppressor protein 1 [0.0333] | SCAPER_N domain-containing protein [0.0281] | IMD domain-containing protein [0.0206] | GIT1_C domain-containing protein [0.0152] | Metastasis suppressor protein 1-like [0.0093] | Schwannomin-interacting protein 1 [0.0088] | UDENN FLCN/SMCR8-type domain-containing protein [0.0068] | Metastasis suppressor 1 [0.0067] | Rop guanine nucleotide exchange factor 7 [0.0037]
B9J08_000369,Hypothetical protein,0.0305005010118919,Hypothetical protein [0.0305] | Secreted protein [0.0185] | Hypothetical_protein [0.0130] | Similar to [0.0125] | Small integral membrane protein 7 [0.0072] | Hypothetical_protein_-_conserved [0.0059] | Small integral membrane protein 8 [0.0052] | Membrane lipoprotein [0.0039] | Proline-rich family protein [0.0039] | Small integral membrane protein 20 [0.0037]
B9J08_000375,Group 5 allergen,0.0374734459265064,Group 5 allergen [0.0375] | Group 3 allergen [0.0156] | (pine wood nematode) hypothetical protein [0.0151] | Myoglobin [0.0142] | Group protein [0.0142] | Haem_bd domain-containing protein [0.0117] | Alpha-globin [0.0112] | DUF2760 domain-containing protein [0.0069] | DUF2796 domain-containing protein [0.0058] | Group 5 allergen-like protein [0.0057]
B9J08_000380,RNB domain-containing protein,0.365734211402129,"RNB domain-containing protein [0.3657] | RNB-domain-containing protein [0.1200] | EC:3.1.13.1 [0.0605] | Exoribonuclease II, mitochondrial [0.0267] | Exoribonuclease II [0.0198] | Ribonuclease P protein subunit [0.0102] | Ribonuclease P [0.0096] | Ribonuclease [0.0083] | Mitochondrial exoribonuclease Cyt-4 [0.0067] | RNB-like protein [0.0058]"
B9J08_000403,YBL081Wp-like protein,0.0261048806969139,YBL081Wp-like protein [0.0261] | Arf-GAP domain-containing protein [0.0250] | YBL081W [0.0161] | GATA zinc finger domain-containing protein 14 [0.0152] | AT-hook motif nuclear-localized protein [0.0142] | GATA zinc finger domain-containing protein 14-like [0.0136] | Zinc finger protein JACKDAW-like [0.0068] | Phosphatidylinositol-binding clathrin assembly protein LAP [0.0064] | Epsin [0.0057] | Zinc finger protein [0.0056]
B9J08_000429,Aminopeptidase,0.0467717486470378,Aminopeptidase [0.0468] | Methionyl-tRNA formyltransferase [0.0380] | Nucleic acid-binding protein [0.0222] | AlaDh_PNT_N domain-containing protein [0.0210] | Peptidyl-prolyl cis-trans isomerase [0.0198] | Peptidyl-prolyl cis-trans isomerase-like 2 [0.0120] | AA_kinase domain-containing protein [0.0110] | Aminoacylproline aminopeptidase [0.0106] | Metallo-hydrolase/oxidoreductase [0.0095] | Peptidyl-tRNA hydrolase [0.0092]
B9J08_000438,Cell wall protein,0.1409224397935855,"Cell wall protein [0.1409] | GPI anchored protein [0.0904] | Secreted protein [0.0365] | Cell wall protein PGA31 [0.0212] | GPI anchored protein, [0.0199] | Cell wall mannoprotein CIS3 [0.0198] | Hyphal_reg_CWP domain-containing protein [0.0116] | Cell wall protein, [0.0109] | Cell wall protein Phi1 [0.0105] | GPI anchored serine-rich protein [0.0094]"
B9J08_000439,Transmembrane protein,0.1837724908227675,"Transmembrane protein [0.1838] | B12D domain-containing protein [0.1324] | Transmembrane protein, [0.0317] | Hypothetical_protein [0.0305] | Hypothetical_protein_-_conserved [0.0293] | Ubiquinol-cytochrome-c reductase complex assembly factor 3 [0.0252] | Unnamed product [0.0240] | (pine wood nematode) hypothetical protein [0.0236] | Hypothetical_protein_conserved [0.0170] | (thale cress) hypothetical protein [0.0159]"
B9J08_000440,(thale cress) hypothetical protein,0.0292136294413877,(thale cress) hypothetical protein [0.0292] | Ovule protein [0.0291] | Hypothetical protein [0.0224] | Ethylene-responsive transcription factor 1 [0.0215] | AP2/ERF domain-containing protein [0.0211] | Transcription factor [0.0117] | Protein FAR1-RELATED SEQUENCE [0.0113] | Ethylene responsive element binding protein [0.0093] | Ethylene-responsive transcription factor 5-like [0.0092] | Ethylene-responsive transcription factor [0.0087]
B9J08_000441,Myb_DNA-bind_5 domain-containing protein,0.1903197683468877,Myb_DNA-bind_5 domain-containing protein [0.1903] | MADF domain-containing protein [0.0665] | (thale cress) hypothetical protein [0.0599] | Hypothetical protein [0.0262] | ARID domain-containing protein [0.0236] | (pine wood nematode) hypothetical protein [0.0191] | Myb-like domain-containing protein [0.0101] | Zgc: [0.0076] | Myb_DNA-bind_2 domain-containing protein [0.0061] | F-box domain-containing protein [0.0039]
B9J08_000448,N-acetyltransferase domain-containing protein,0.4272966025150223,N-acetyltransferase domain-containing protein [0.4273] | EC:2.3.1.48 [0.0843] | Histone acetyltransferase [0.0771] | EC:2.3.1.97 [0.0407] | Acetyltransferase [0.0212] | Bromo domain-containing protein [0.0177] | EC:2.3.1.257 [0.0147] | GNAT family N-acetyltransferase [0.0120] | Glycylpeptide N-tetradecanoyltransferase [0.0109] | EC:2.3.1.4 [0.0085]
B9J08_000456,Hypothetical protein,0.0546344358217392,Hypothetical protein [0.0546] | (pine wood nematode) hypothetical protein [0.0203] | BLVR domain-containing protein [0.0128] | Kri1_C domain-containing protein [0.0114] | Hypothetical_protein [0.0111] | Membrane associated protein [0.0086] | Signal recognition particle subunit srp14 [0.0079] | ATP-dependent DNA helicase [0.0061] | Signal recognition particle subunit srp68 [0.0043] | Inner centromere protein A [0.0037]
B9J08_000472,Secreted protein,0.0912293890668975,Secreted protein [0.0912] | Hypothetical protein [0.0467] | (pine wood nematode) hypothetical protein [0.0184] | Secreted phosphoprotein 24 [0.0117] | Effector protein [0.0082] | DUF4476 domain-containing protein [0.0070] | Secreted phosphoprotein 2 [0.0040] | Secreted phosphoprotein 1 [0.0037] | Autophagy-related protein [0.0028] | DUF4230 domain-containing protein [0.0027]
B9J08_000481,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,0.261474502577451,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 [0.2615] | Hypothetical_protein [0.1297] | NADH-ubiquinone oxidoreductase subunit [0.1174] | Complex I-B16.6 [0.0761] | Hypothetical protein [0.0394] | NADH-ubiquinone oxidoreductase [0.0271] | Mitochondrial protein [0.0270] | Cytochrome c oxidase assembly protein COX16, mitochondrial [0.0252] | Conserved protein [0.0134] | Mitochondrial import inner membrane translocase subunit Tim21 [0.0122]"
B9J08_000502,Transmembrane protein,0.1139199974261049,"Transmembrane protein [0.1139] | Transmembrane protein, [0.1134] | Hypothetical_protein [0.0096] | WGS project CBMI000000000 data, contig [0.0090] | Mitochondrial import inner membrane translocase subunit Tim21 [0.0073] | Mitochondrial import inner membrane translocase subunit tim50 [0.0071] | Conserved protein [0.0069] | WGS project CCBQ000000000 data, contig 00015 [0.0051] | Mitochondrial import inner membrane translocase subunit TIM21 [0.0047] | WGS project CABT00000000 data, contig 2.2 [0.0044]"
B9J08_000505,THO complex subunit 2,0.5179557502044007,"THO complex subunit 2 [0.5180] | THOC2_N domain-containing protein [0.1685] | THO complex subunit 2-like [0.0222] | THO complex, subunit THOC1 [0.0163] | MIF4G domain-containing protein [0.0152] | CCR4-NOT transcription complex subunit 11 [0.0142] | Hypothetical protein [0.0093] | THO complex subunit 2 (inferred by orthology to a human protein) [0.0081] | Tho2 domain-containing protein [0.0059] | THO complex subunit 2-like protein [0.0041]"
B9J08_000521,T-SNARE coiled-coil homology domain-containing protein,0.0889212926673131,T-SNARE coiled-coil homology domain-containing protein [0.0889] | T-SNARE [0.0252] | Hypothetical_protein [0.0251] | Hypothetical protein [0.0189] | (pine wood nematode) hypothetical protein [0.0149] | Protein 2 [0.0044] | F-BAR domain-containing protein [0.0039] | Piso0_002498 protein [0.0029] | Similar to Saccharomyces cerevisiae YER005C ATG16 Protein with a role in endocytosis and exocytosis [0.0000] | Similar to Saccharomyces cerevisiae YAL013C ATG16 Protein with a role in endocytosis and exocytosis [0.0000]
B9J08_000540,DNA helicase,0.039128204779344,DNA helicase [0.0391] | Ovule protein [0.0265] | DNA ligase 1-like [0.0232] | Flocculation protein FLO11-like [0.0224] | DNA ligase 1 [0.0167] | Transcription factor [0.0111] | DNA ligase [0.0092] | ATP-dependent DNA helicase Q-like 5 [0.0074] | Fanconi anemia group D2 protein [0.0064] | DNA-directed DNA polymerase [0.0056]
B9J08_000562,JmjC domain-containing protein,0.0451587968997832,"JmjC domain-containing protein [0.0452] | ULP_PROTEASE domain-containing protein [0.0420] | (thale cress) hypothetical protein [0.0388] | EF-hand domain-containing protein [0.0323] | Ulp1 protease family, C-terminal catalytic domain-containing protein [0.0190] | Calpain catalytic domain-containing protein [0.0189] | (pine wood nematode) hypothetical protein [0.0117] | Muscle M-line assembly protein unc-89 [0.0093] | Muscle M-line assembly protein unc-89-like [0.0082] | Ulp1 protease family protein [0.0053]"
B9J08_000571,Hypothetical_protein,0.0255370436492304,Hypothetical_protein [0.0255] | Piso0_000942 protein [0.0145] | (pine wood nematode) hypothetical protein [0.0144] | F-BAR domain-containing protein [0.0142] | Vesicle transport protein USE1 [0.0121] | Protein MIS12 homolog [0.0119] | Syntaxin-6_N domain-containing protein [0.0108] | Vesicle transport protein [0.0092] | Syntaxin [0.0070] | T-SNARE [0.0062]
B9J08_000586,COX6C domain-containing protein,0.0232384917577975,"COX6C domain-containing protein [0.0232] | Mitochondrial import inner membrane translocase subunit TIM14 [0.0177] | WGS project CCBQ000000000 data, contig 00015 [0.0168] | WGS project CCBQ000000000 data, contig 00106 [0.0132] | Mitochondrial import inner membrane translocase subunit tim14 [0.0078] | Mitochondrial import inner membrane translocase subunit Tim14 [0.0076] | WGS project CCBQ000000000 data, contig 00016 [0.0069] | WGS project CCBQ000000000 data, contig 00107 [0.0060] | WGS project CCBQ000000000 data, contig 00099 [0.0054] | Cytochrome c oxidase assembly protein COX16, mitochondrial [0.0046]"
B9J08_000595,UBX domain-containing protein,0.2407435183524203,UBX domain-containing protein [0.2407] | Major sperm protein [0.0765] | Ubiquitin-like domain-containing protein [0.0465] | E3 ubiquitin-protein ligase DRIP [0.0192] | MSP domain-containing protein [0.0131] | AHD domain-containing protein [0.0118] | E3 ubiquitin-protein ligase TRAF7 [0.0104] | C2 domain-containing protein [0.0087] | Cordon-bleu protein-like 1 [0.0078] | Ubiquitin-like protein [0.0078]
B9J08_000597,Transmembrane protein,0.1309740781936298,"Transmembrane protein [0.1310] | TRP domain-containing protein [0.1031] | Pecanex-like protein [0.0519] | Hypothetical_protein [0.0329] | Conserved plasma membrane protein [0.0242] | Lipase_3 domain-containing protein [0.0169] | Transmembrane protein, [0.0157] | Chloride channel CLIC-like protein 1 [0.0108] | Protein tincar [0.0066] | Chloride channel protein [0.0058]"
B9J08_000600,Ras-GEF domain-containing protein,0.0204570851792346,Ras-GEF domain-containing protein [0.0205] | Fungal_trans domain-containing protein [0.0167] | Fungal protein [0.0159] | DENN domain-containing protein [0.0108] | Vegetative cell wall protein gp1 [0.0107] | Mediator of RNA polymerase II transcription subunit 12 [0.0079] | C6 transcription factor [0.0077] | Protein unc-13 homolog [0.0066] | Mediator of RNA polymerase II transcription subunit 13 [0.0043] | Fungal specific transcription factor [0.0041]
B9J08_000608,DUF2012 domain-containing protein,0.8305055004871009,"DUF2012 domain-containing protein [0.8305] | ER membrane protein complex subunit 7 homolog [0.0221] | ER membrane protein complex subunit 7 [0.0113] | Endoplasmic reticulum membrane protein [0.0058] | Protein SOP4 [0.0034] | ER membrane protein complex subunit 7, [0.0031] | Endoplasmic reticulum-Golgi intermediate compartment protein 3 [0.0027] | ER membrane protein complex subunit 7-like protein [0.0024] | Transmembrane protein [0.0024] | Endoplasmic reticulum-Golgi intermediate compartment protein 2 [0.0024]"
B9J08_000626,Hypothetical_protein,0.217483766039684,"Hypothetical_protein [0.2175] | Hypothetical protein [0.1044] | (pine wood nematode) hypothetical protein [0.0340] | Transmembrane protein [0.0339] | DUF4760 domain-containing protein [0.0315] | (thale cress) hypothetical protein [0.0228] | Mitofilin [0.0203] | DUF4101 domain-containing protein [0.0043] | Hypothetical_protein_conserved [0.0028] | WGS project CCBQ000000000 data, contig 00015 [0.0018]"
B9J08_000642,Homeobox domain-containing protein,0.1855526643239803,Homeobox domain-containing protein [0.1856] | Hypothetical protein [0.0248] | SWIM-type domain-containing protein [0.0184] | Chromo domain-containing protein [0.0164] | DUF4806 domain-containing protein [0.0149] | Homeodomain-like protein [0.0109] | Homeobox domain protein [0.0086] | Homeodomain-like DNA binding domain-containing transcription factor [0.0083] | Homeodomain [0.0063] | Homeobox protein [0.0055]
B9J08_000652,MMPL domain-containing protein,0.1203971027112557,MMPL domain-containing protein [0.1204] | SUR7/PalI family protein [0.0412] | Amino acid transporter [0.0291] | PGG domain-containing protein [0.0252] | TraG_N domain-containing protein [0.0205] | Patched family protein [0.0186] | SUR7/PalI family-domain-containing protein [0.0186] | SUR7/PalI family [0.0177] | Transmembrane protein [0.0131] | Conjugal transfer protein TraG [0.0123]
B9J08_000653,Occludin_ELL domain-containing protein,0.2479743607823247,Occludin_ELL domain-containing protein [0.2480] | Clr2 domain-containing protein [0.0285] | ELL domain-containing protein [0.0161] | RNA polymerase II transcription elongation factor [0.0148] | RNA polymerase II elongation factor ELL [0.0143] | Related to RNA polymerase II transcription elongation factor [0.0097] | Rna polymerase ii elongation factor [0.0065] | RNA polymerase II elongation factor Ell [0.0052] | RNA polymerase II elongation factor ELL2 [0.0049] | Rna polymerase ii elongation factor ell2 [0.0041]
B9J08_000663,DUF223 domain-containing protein,0.0556049013029314,DUF223 domain-containing protein [0.0556] | SPATA6 domain-containing protein [0.0328] | Transmembrane 9 superfamily member [0.0242] | Hypothetical protein [0.0104] | Retrovirus-related Pol polyprotein from transposon 17.6 [0.0096] | DUF4238 domain-containing protein [0.0072] | Retrovirus-related Pol polyprotein from transposon opus [0.0056] | Retrovirus polyprotein [0.0051] | Retrovirus-related Pol polyprotein from transposon TNT 1-94 [0.0046] | Transmembrane protein [0.0041]
B9J08_000664,COPI associated protein,0.0564062406896225,COPI associated protein [0.0564] | COPI associated family protein [0.0420] | Ribonucleases G and E [0.0285] | COPI associated [0.0237] | Hypothetical membrane protein [0.0234] | Serine protease [0.0220] | COPI-associated protein [0.0160] | Yip1 domain-containing protein [0.0141] | Transmembrane protein [0.0140] | DUF2062 domain-containing protein [0.0106]
B9J08_000672,PP1-binding domain-containing protein,0.0315117634030431,PP1-binding domain-containing protein [0.0315] | Protein dalmatian [0.0236] | Membrane-associated kinase regulator 5 [0.0177] | Protein kinase domain-containing protein [0.0155] | Protein dalmatian-like [0.0151] | Rho guanine nucleotide exchange factor 9 [0.0148] | Protein FAM110C-like [0.0145] | Protein FAM110C [0.0131] | Membrane-associated kinase regulator 6 [0.0130] | Protein FAM123C [0.0105]
