Protein,Gene ID,source_id,Product Description,Protein Length,Ortholog count,Paralog count,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top10,ProtNLM_Top1_Generic,ProtNLM_Score_GE_0.2,ProtNLM_Score_GE_0.5,ProtNLM_Score_GE_0.8,ProtNote_Top_GO,ProtNote_Top_GO_Description,ProtNote_Top_Probability,ProtNote_Top_Rank,ProtNote_Top_Specific_GO,ProtNote_Top_Specific_Description,ProtNote_Top_Specific_Probability,ProtNote_Top_Specific_Rank,ProtNote_NonObsolete_Count,ProtNote_Specific_Count,ProtNote_HighConf_Specific_Count,ProtNote_All_Specific_Descriptions,Has_ProtNote_Specific_Prediction,Has_HighConf_ProtNote_Specific,ProtNLM_NonGeneric,Candidate_Priority_Score,GO2SUM_Function_Text,GO2SUM_Function_Word_Count,GO2SUM_Function_Exact_Duplicate_Count,GO2SUM_Function_Review_Reasons,GO2SUM_Function_Review_Flag,GO2SUM_Pathway_Text,GO2SUM_Pathway_Word_Count,GO2SUM_Pathway_Exact_Duplicate_Count,GO2SUM_Pathway_Review_Reasons,GO2SUM_Pathway_Review_Flag,GO2SUM_Subunit_Text,GO2SUM_Subunit_Word_Count,GO2SUM_Subunit_Exact_Duplicate_Count,GO2SUM_Subunit_Review_Reasons,GO2SUM_Subunit_Review_Flag,GO2SUM_Any_Review_Flag,GO2SUM_Number_Of_Flagged_Output_Types
B9J08_004036,B9J08_004036,B9J08_004036-t37_1,hypothetical protein,421,8,0,Arrestin_N domain-containing protein,0.6763293386141447,Arrestin_N domain-containing protein [0.6763] | Arrestin_C domain-containing protein [0.0472] | PAZ domain-containing protein [0.0203] | Bul1_C domain-containing protein [0.0128] | Arrestin [0.0089] | DUF3668 domain-containing protein [0.0085] | Arrestin domain-containing protein 2 [0.0065] | Arrestin (Or S-antigen) [0.0053] | DUF1785 domain-containing protein [0.0048] | Arrestin domain-containing protein [0.0038],False,True,True,False,GO:0008150,biological_process,0.8125,1,GO:0071704,organic substance metabolic process,0.6072,2,18,15,12,organic substance metabolic process | transport | metabolic process | lipid transport | establishment of localization | localization | cellular metabolic process | organic substance biosynthetic process | biosynthetic process | organic substance transport | viral process | cellular biosynthetic process | symbiotic process | transport of virus in multicellular host | organonitrogen compound biosynthetic process,True,True,True,5,"Required for the biosynthesis of type 2 capsular polysaccharides. Forms pores in lipid bilayers. These pores are formed by transmembrane proteins, termed pectins, which are essential for the formation of pectin cytoplasmic membranes.",33,1,,False,Siderophore biosynthesis.,2,6,,False,Homotetramer.,1,11,,False,False,0
B9J08_002754,B9J08_002754,B9J08_002754-t37_1,hypothetical protein,697,47,2,Ubiquitin-like domain-containing protein,0.6444757260886017,Ubiquitin-like domain-containing protein [0.6445] | Rad60-SLD domain-containing protein [0.0223] | Ubiquitinyl hydrolase 1 [0.0201] | Ubiquitin family protein [0.0184] | EC:3.4.19.12 [0.0153] | C2 domain-containing protein [0.0151] | Integral membrane protein [0.0094] | Protein kinase domain-containing protein [0.0092] | Ubiquitin family [0.0048] | Protein kinase-like domain [0.0028],False,True,True,False,GO:0005575,cellular_component,0.9333,1,GO:0016021,integral component of membrane,0.8296,2,16,9,2,integral component of membrane | intrinsic component of membrane | metal ion binding | cation binding | membrane | ion binding | response to stimulus | host cellular component | host cell cytoplasm part,True,True,True,5,Metallothioneins have a high content of cysteine residues that bind various heavy metals.,13,4,,False,Cofactor biosynthesis; OBSOLETE biosynthesis.,4,47,obsolete_placeholder,True,Homotrimer.,1,54,,False,True,1
B9J08_003812,B9J08_003812,B9J08_003812-t37_1,hypothetical protein,364,418,0,Mab-21 domain-containing protein,0.6291238971968289,Mab-21 domain-containing protein [0.6291] | DUF659 domain-containing protein [0.0123] | E3 ubiquitin-protein ligase [0.0071] | Protein ECM9 [0.0070] | Fuz_longin_1 domain-containing protein [0.0066] | Protein mab-21-like 3 [0.0063] | Mab-21 domain containing protein [0.0060] | Hypothetical protein [0.0054] | Ankyrin repeat protein [0.0038] | Protein mab-21-like 1 [0.0034],False,True,True,False,GO:0005488,binding,0.7956,1,GO:0043167,ion binding,0.7516,3,20,16,4,"ion binding | metal ion binding | cation binding | transferase activity, transferring phosphorus-containing groups | organic cyclic compound binding | transferase activity | iron-sulfur cluster binding | nucleotide binding | metal cluster binding | nucleoside phosphate binding | heterocyclic compound binding | purine nucleotide binding | kinase activity | purine ribonucleoside triphosphate binding | small molecule binding | purine ribonucleotide binding",True,True,True,5,"Part of a heterotetrameric complex that catalyzes the two-electron transfer of a phosphomonoester to a serine or threonine residue, and the transfer of the phosphomonoester to a serine or threonine residue to another cell wall component.",36,1,,False,Purine metabolism.,2,2,,False,Monomer or homodimer.,3,1,,False,False,0
B9J08_004422,B9J08_004422,B9J08_004422-t37_1,hypothetical protein,447,10,0,TPR_REGION domain-containing protein,0.628297275517086,TPR_REGION domain-containing protein [0.6283] | Hypothetical_protein [0.0337] | Tetratricopeptide repeat protein 15 [0.0237] | Tetratricopeptide-like helical [0.0145] | Tetratricopeptide repeat protein [0.0131] | Tetratricopeptide-like helical domain [0.0107] | CHAT domain-containing protein [0.0095] | TTC27 [0.0090] | TPR-like protein [0.0084] | PINc domain-containing protein [0.0056],False,True,True,False,GO:0005575,cellular_component,0.873,1,GO:0044424,intracellular part,0.6623,5,18,12,5,intracellular part | cytoplasm | cellular bud neck | regulation of biological process | regulation of biological quality | regulation of cellular process | incipient cellular bud site | localization | actin cortical patch localization | cell division site | detection of chemical stimulus | establishment of localization,True,True,True,5,This protein is a positive regulator of chitin synthase.,9,1,,False,Protein modification; protein OBSOLETE biosynthesis.,5,4,obsolete_placeholder,True,"Homodimer, and heterodimer with BEM1.",5,1,,False,True,1
B9J08_005551,B9J08_005551,B9J08_005551-t37_1,hypothetical protein,407,5,0,Arrestin_N domain-containing protein,0.599509779134596,Arrestin_N domain-containing protein [0.5995] | Arrestin_C domain-containing protein [0.0523] | Arrestin domain-containing protein 3 [0.0131] | Arrestin domain-containing protein [0.0119] | Hypothetical_protein [0.0108] | Hypothetical protein [0.0101] | Bul1_C domain-containing protein [0.0083] | Meckelin [0.0058] | Arrestin domain-containing protein 1 [0.0051] | Arrestin domain protein [0.0040],False,True,True,False,GO:0008150,biological_process,0.7486,1,GO:0071704,organic substance metabolic process,0.5738,5,18,12,3,organic substance metabolic process | cytoplasm | intracellular part | cellular metabolic process | metabolic process | chemosynthesis | organic substance biosynthetic process | ligase activity | cellular macromolecule biosynthetic process | biosynthetic process | cellular macromolecule metabolic process | purine ribonucleoside triphosphate binding,True,True,True,5,"Interconverts adenosine 5'-monophosphate to xanthosine 5'-monophosphate, the first enzymatic step in the biosynthesis of xanthosine.",15,1,,False,Secondary metabolite biosynthesis.,3,19,,False,Homodimer.,1,182,,False,False,0
B9J08_004780,B9J08_004780,B9J08_004780-t37_1,hypothetical protein,399,23,0,"ATPase expression protein 2, mitochondrial",0.5639391175361558,"ATPase expression protein 2, mitochondrial [0.5639] | Mtf2 domain-containing protein [0.0155] | Genetic interactor of prohibitin 5, mitochondrial [0.0149] | Mitochondrial translational activator [0.0095] | ATPase expression protein 2 [0.0083] | WGS project CCBQ000000000 data, contig 00015 [0.0063] | Transcription termination factor [0.0061] | Transcription termination factor, mitochondrial [0.0041] | ATPase expression protein 2, mitochondrial-like [0.0038] | ATPase expression protein [0.0031]",False,True,True,False,GO:0005575,cellular_component,0.9196,1,GO:0044424,intracellular part,0.8972,2,19,15,15,intracellular part | organic substance metabolic process | metabolic process | macromolecule metabolic process | nitrogen compound metabolic process | protein-containing complex | primary metabolic process | cellular metabolic process | intracellular protein-containing complex | cytoplasm | organic cyclic compound binding | cellular nitrogen compound metabolic process | heterocyclic compound binding | nucleic acid binding | protein metabolic process,True,True,True,5,This protein is an obisoluteute protein.,6,3,obsolete_placeholder,True,Cofactor biosynthesis; OBSOLETE biosynthesis.,4,47,obsolete_placeholder,True,Homotrimer.,1,54,,False,True,2
B9J08_005576,B9J08_005576,B9J08_005576-t37_1,hypothetical protein,541,8,0,Lipase_3 domain-containing protein,0.5573986292051515,"Lipase_3 domain-containing protein [0.5574] | GPS domain-containing protein [0.0154] | EC:3.1.3.16 [0.0083] | EC:3.1.3.4 [0.0073] | Lipase, class 3 [0.0061] | WW domain-containing protein [0.0053] | EC:3.1.3.48 [0.0047] | EC:3.1.1.- [0.0042] | EC:3.1.1.3 [0.0040] | Lipase [0.0039]",False,True,True,False,GO:0005575,cellular_component,0.9779,1,GO:0016021,integral component of membrane,0.8993,3,17,10,7,integral component of membrane | intrinsic component of membrane | localization | establishment of localization | intracellular part | transport | organic substance transport | G protein-coupled peptide receptor activity | G protein-coupled receptor activity | intracellular transport,True,True,True,5,Binds to muscarinic acetylcholine.,4,1,,False,Glucan metabolism; OBSOLETE biosynthesis.,4,2,obsolete_placeholder,True,Homodimer.,1,182,,False,True,1
B9J08_003970,B9J08_003970,B9J08_003970-t37_1,hypothetical protein,488,254,0,AMP-binding domain-containing protein,0.5573889280137649,"AMP-binding domain-containing protein [0.5574] | Acetyl-CoA synthetase-like protein [0.1616] | Carrier domain-containing protein [0.0267] | Acyl-CoA synthetase family member 3, mitochondrial [0.0165] | 4-coumarate--CoA ligase [0.0108] | Acyl-CoA synthetase [0.0080] | AMP-dependent synthetase/ligase [0.0074] | AMP-binding protein [0.0051] | L-aminoadipate-semialdehyde dehydrogenase large subunit [0.0049] | AMP-binding enzyme [0.0049]",False,True,True,False,GO:0005575,cellular_component,0.9214,1,GO:0016021,integral component of membrane,0.6829,4,18,11,4,integral component of membrane | intrinsic component of membrane | intracellular part | membrane | DNA binding | nucleic acid binding | organic cyclic compound binding | intracellular organelle part | organelle part | heterocyclic compound binding | transferase activity,True,True,True,5,"OBSOLETE is a multifunctional protein that acts as an enzymatically inactive cytidine kinase, a DNA-binding protein, and a ribonucleotide reductase.",20,1,obsolete_placeholder,True,Photosynthesis; C4 acid pathway.,4,13,photosynthesis_or_chloroplast,True,Homodimer.,1,182,,False,True,2
B9J08_000505,B9J08_000505,B9J08_000505-t37_1,hypothetical protein,285,8,0,THO complex subunit 2,0.5179557502044007,"THO complex subunit 2 [0.5180] | THOC2_N domain-containing protein [0.1685] | THO complex subunit 2-like [0.0222] | THO complex, subunit THOC1 [0.0163] | MIF4G domain-containing protein [0.0152] | CCR4-NOT transcription complex subunit 11 [0.0142] | Hypothetical protein [0.0093] | THO complex subunit 2 (inferred by orthology to a human protein) [0.0081] | Tho2 domain-containing protein [0.0059] | THO complex subunit 2-like protein [0.0041]",False,True,True,False,GO:0008150,biological_process,0.8997,1,GO:0032991,protein-containing complex,0.6515,4,16,10,3,protein-containing complex | intracellular part | intracellular protein-containing complex | organelle organization | cytosolic part | cell cycle process | cytoplasm | nuclear protein-containing complex | cellular component organization | intracellular organelle,True,True,True,5,Positive regulator of p38 MAP kinase signaling.,7,1,,False,Amino-acid biosynthesis.,2,32,,False,Homodimer.,1,182,,False,False,0
B9J08_003375,B9J08_003375,B9J08_003375-t37_1,hypothetical protein,397,8,0,F-box domain-containing protein,0.5044340431243298,F-box domain-containing protein [0.5044] | (pine wood nematode) hypothetical protein [0.0358] | Hypothetical_protein [0.0324] | Hypothetical protein [0.0240] | SWIB domain-containing protein [0.0201] | Expressed conserved protein [0.0098] | Ras-GEF domain-containing protein [0.0087] | FBD domain-containing protein [0.0077] | F-box domain protein [0.0056] | F-box protein [0.0050],False,True,True,False,GO:0044424,intracellular part,0.6771,1,GO:0044424,intracellular part,0.6771,1,20,14,10,"intracellular part | organelle part | chromosome, centromeric region | intracellular organelle part | cellular component organization | cellular component organization or biogenesis | chloroplast part | plastid part | intracellular organelle | chromosomal region | intracellular membrane-bounded organelle | plastid | chloroplast | chromosomal part",True,True,True,5,May play a role in chromatin organization and cell division.,10,1,,False,Amino-acid biosynthesis; OBSOLETE biosynthesis.,4,16,obsolete_placeholder,True,"Component of the plastid-encoded plastid RNA polymerase complex, composed of at least PP2C1, PP2C2, PP2C3, PP2C4 and PP2C5.",18,1,photosynthesis_or_chloroplast; extreme_length_outlier,True,True,2
B9J08_002028,B9J08_002028,B9J08_002028-t37_1,hypothetical protein,104,14,0,Histidine kinase,0.5001204745465493,Histidine kinase [0.5001] | 2TM domain-containing protein [0.0970] | DUF485 domain-containing protein [0.0758] | DUF202 domain-containing protein [0.0630] | DUF3955 domain-containing protein [0.0315] | Conserved hypothetical membrane protein [0.0130] | Transmembrane protein [0.0116] | Group-specific protein [0.0101] | EC:2.-.-.- [0.0073] | PTS cellobiose transporter subunit IIA [0.0050],False,True,True,False,GO:0031224,intrinsic component of membrane,0.9689,1,GO:0031224,intrinsic component of membrane,0.9689,1,17,12,10,intrinsic component of membrane | integral component of membrane | membrane | cellular component organization | cellular component assembly | cellular component organization or biogenesis | protein-containing complex assembly | protein-containing complex subunit organization | cellular protein-containing complex assembly | leaflet of membrane bilayer | vacuolar proton-transporting V-type ATPase complex assembly | proton-transporting two-sector ATPase complex assembly,True,True,True,5,Required for the assembly of the V1 complex of the vacuolar ATPase.,12,1,,False,Protein modification; protein glycosylation.,4,85,,False,Associates with the V-ATPase complex.,5,1,,False,False,0
B9J08_005333,B9J08_005333,B9J08_005333-t37_1,hypothetical protein,99,19,0,Hypothetical protein,0.8662985964655129,Hypothetical protein [0.8663] | Secreted protein [0.0292] | (pine wood nematode) hypothetical protein [0.0051] | Sec-independent protein translocase protein TatA [0.0035] | Sec translocon accessory complex subunit YajC [0.0032] | Protein TolA [0.0030] | Hypothetical salivary protein [0.0018] | Hypothetical membrane protein [0.0017] | Secretory carrier membrane protein [0.0012] | Hypothetical-protein [0.0011],True,True,True,True,GO:0031224,intrinsic component of membrane,0.7456,1,GO:0031224,intrinsic component of membrane,0.7456,1,17,12,3,intrinsic component of membrane | integral component of membrane | host cell part | host cellular component | extracellular region | positive regulation of gene expression | regulation of biological process | positive regulation of biological process | host cell membrane | host intracellular part | regulation of gene expression | regulation of multicellular organismal process,True,True,False,4,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is required for endothelial cell fusion and the formation of a tubular structure on the bacterial surface.,34,1,bacterial_or_viral_context,True,Protein modification; protein ubiquitination.,4,16,,False,"Interacts with B'THETA, B'THETA and B'THETA.",6,2,,False,True,1
B9J08_004148,B9J08_004148,B9J08_004148-t37_1,hypothetical protein,336,21,0,Opaque-phase-specific protein OP4,0.8145197206860652,"Opaque-phase-specific protein OP4 [0.8145] | Secreted protein [0.0472] | Opaque-phase-specific protein OP4, [0.0088] | Opaque-phase-specific protein [0.0059] | Cell wall mannoprotein 1 [0.0027] | Conserved secreted protein [0.0022] | Effector protein [0.0021] | Extracellular protein [0.0017] | Opaque-phase-specific protein OP4 protein [0.0016] | Secreted protein 1 [0.0016]",False,True,True,True,GO:0005575,cellular_component,0.9424,1,GO:0016020,membrane,0.4706,9,16,10,0,membrane | extracellular region | cell wall | external encapsulating structure | nitrogen compound metabolic process | interspecies interaction between organisms | plasma membrane | isomerase activity | periplasmic space | metabolic process,True,False,True,4,Converts O-acetyl-L-alanine into acetyl-L-alanine via a radical-based mechanism.,8,1,,False,Energy metabolism; nitrogen metabolism.,4,4,,False,Forms a cylinder of 14 subunits composed of two heptameric rings stacked back-to-back. Interacts with the co-chaperonin GroES.,18,2,extreme_length_outlier,True,True,1
