Review_Category,Protein,ProtNLM_Top1,ProtNLM_Top1_Score,Beam_Exact_Lexical_Coherence,Beam_Unique_Normalised_Labels,Beam_Top_Label_Repetition_Count,Ortholog count,Paralog count,Protein Length,ProtNLM_Top1_Generic,Suspicious_Output_Reason,ProtNLM_Top10
low score + high lexical coherence,B9J08_000586,COX6C domain-containing protein,0.0232384917577975,0.3,8,3,22,0,150,False,,"COX6C domain-containing protein [0.0232] | Mitochondrial import inner membrane translocase subunit TIM14 [0.0177] | WGS project CCBQ000000000 data, contig 00015 [0.0168] | WGS project CCBQ000000000 data, contig 00106 [0.0132] | Mitochondrial import inner membrane translocase subunit tim14 [0.0078] | Mitochondrial import inner membrane translocase subunit Tim14 [0.0076] | WGS project CCBQ000000000 data, contig 00016 [0.0069] | WGS project CCBQ000000000 data, contig 00107 [0.0060] | WGS project CCBQ000000000 data, contig 00099 [0.0054] | Cytochrome c oxidase assembly protein COX16, mitochondrial [0.0046]"
low score + high lexical coherence,B9J08_000117,GPI-anchored protein,0.0458290502135111,0.3,8,3,147,4,258,False,,"GPI-anchored protein [0.0458] | Related to sporozoite surface protein 2 [0.0349] | Cell wall protein [0.0283] | Cell wall mannoprotein CIS3 [0.0282] | Str. FM013 [0.0272] | Extracellular serine-rich protein [0.0239] | GPI anchored protein [0.0193] | Clock-controlled protein 6 [0.0144] | SAG-related sequence SRS10 [0.0138] | GPI anchored protein, [0.0065]"
low score + high lexical coherence,B9J08_004698,Hypothetical_protein,0.0077822644944187,0.2,8,2,6,0,270,True,,Hypothetical_protein [0.0078] | Hypothetical protein [0.0074] | DUF4806 domain-containing protein [0.0072] | Zinc finger protein [0.0066] | Serine/threonine-protein kinase [0.0040] | PiggyBac transposable element-derived protein 4-like [0.0038] | PiggyBac transposable element-derived protein 4 [0.0034] | Serine/threonine protein kinase [0.0030] | Histone deacetylase Rpd3 [0.0030] | PiggyBac transposable element-derived protein 3 [0.0023]
low score + high lexical coherence,B9J08_003110,"Transmembrane protein,",0.0144206817065644,0.2,9,2,1,0,72,False,,"Transmembrane protein, [0.0144] | Secreted protein [0.0137] | Transmembrane protein [0.0103] | Conserved domain protein [0.0068] | Bgt- [0.0066] | LPXTG cell wall anchor domain-containing protein [0.0065] | Cytochrome c heme lyase subunit CcmF [0.0041] | LPXTG-motif cell wall anchor domain protein [0.0034] | LPXTG-domain-containing protein cell wall anchor domain [0.0026] | Cytochrome c1 [0.0022]"
low score + high lexical coherence,B9J08_003070,RRNA N-glycosidase,0.0145332508956337,0.2,9,2,21,0,336,False,,"RRNA N-glycosidase [0.0145] | NmrA domain-containing protein [0.0118] | DUF383 domain-containing protein [0.0098] | Hypothetical protein [0.0091] | DUF4470 domain-containing protein [0.0085] | Hypothetical_protein [0.0082] | DUF4821 domain-containing protein [0.0053] | DUF4116 domain-containing protein [0.0038] | WGS project CBMI000000000 data, contig [0.0028] | WGS project CCBQ000000000 data, contig 00015 [0.0020]"
taxonomic/database-like lexical output,B9J08_004711,(thale cress) hypothetical protein,0.1324433849834796,0.1,10,1,7,0,163,False,parenthetical organism-like prefix,"(thale cress) hypothetical protein [0.1324] | Ovule protein [0.0688] | Hypothetical protein [0.0334] | Protein CHUP1, chloroplastic [0.0221] | Protein CHUP1, chloroplastic-like [0.0205] | NAB domain-containing protein [0.0125] | BZIP transcription factor [0.0053] | Protein CHUP1 [0.0048] | Protein CHUP1 chloroplastic-like [0.0028] | Myosin heavy chain-related protein [0.0023]"
taxonomic/database-like lexical output,B9J08_002492,(pine wood nematode) hypothetical protein,0.1311373078622169,0.2,9,2,19,0,317,False,parenthetical organism-like prefix,(pine wood nematode) hypothetical protein [0.1311] | Secreted protein [0.0361] | DUF148 domain-containing protein [0.0233] | Hypothetical_protein [0.0213] | RxLR-like protein [0.0208] | Hypothetical protein [0.0201] | DUF4476 domain-containing protein [0.0200] | Mitochondrial F1F0 ATP synthase associated protein [0.0136] | DUF4197 domain-containing protein [0.0033] | Mitochondrial F1-ATPase assembly protein [0.0023]
taxonomic/database-like lexical output,B9J08_003325,(pine wood nematode) hypothetical protein,0.0903039428325555,0.2,9,2,8,0,429,False,parenthetical organism-like prefix,(pine wood nematode) hypothetical protein [0.0903] | GPI-anchored protein pfl2 [0.0767] | Flocculation protein FLO11-like [0.0189] | GPI anchored protein [0.0182] | GPI-anchored protein [0.0173] | Flocculation protein FLO11 [0.0156] | Secreted mucin [0.0148] | SEA domain-containing protein [0.0142] | Mucin-5AC-like [0.0137] | Protein spaetzle [0.0125]
taxonomic/database-like lexical output,B9J08_004418,(thale cress) hypothetical protein,0.0609601042246846,0.2,9,2,5,0,150,False,parenthetical organism-like prefix,"(thale cress) hypothetical protein [0.0610] | Transmembrane protein, [0.0487] | Ovule protein [0.0451] | Transmembrane protein [0.0121] | TPX2_importin domain-containing protein [0.0064] | TPX2 domain-containing protein [0.0057] | Homeodomain-like superfamily protein [0.0056] | DUF3353 domain-containing protein [0.0050] | F-box family protein [0.0016] | F-box protein [0.0016]"
taxonomic/database-like lexical output,B9J08_001680,(thale cress) hypothetical protein,0.0597807440188624,0.2,9,2,17,0,118,False,parenthetical organism-like prefix,"(thale cress) hypothetical protein [0.0598] | Secreted protein [0.0482] | Ovule protein [0.0321] | Hypothetical_protein [0.0306] | Transmembrane protein [0.0134] | Transmembrane protein, [0.0130] | Nodulin-like domain-containing protein [0.0111] | Membrane protein insertase YidC [0.0091] | Nodulin-16 [0.0072] | PREDICTED: unnamed product [0.0072]"
taxonomic/database-like lexical output,B9J08_000730,(pine wood nematode) hypothetical protein,0.0534473833336254,0.1,10,1,23,0,381,False,parenthetical organism-like prefix,"(pine wood nematode) hypothetical protein [0.0534] | GLTSCR1 domain-containing protein [0.0317] | Hypothetical_protein [0.0260] | Swi3 domain-containing protein [0.0129] | Expressed conserved protein [0.0090] | Podospora anserina S mat+ genomic DNA chromosome 7, supercontig 1 [0.0068] | Expressed protein [0.0065] | WGS project CCBQ000000000 data, contig 00015 [0.0065] | WGS project CCBQ000000000 data, contig 00106 [0.0057] | Podospora anserina S mat+ genomic DNA chromosome 1, supercontig 1 [0.0039]"
taxonomic/database-like lexical output,B9J08_001714,(pine wood nematode) hypothetical protein,0.0531272769387199,0.1,10,1,6,0,116,False,parenthetical organism-like prefix,(pine wood nematode) hypothetical protein [0.0531] | Hypothetical protein [0.0289] | Ovule protein [0.0175] | Cyclin-dependent kinase inhibitor [0.0107] | SORF4 [0.0055] | F-box only protein 43 [0.0043] | Cyclin-dependent kinase inhibitor family protein [0.0036] | SORF11 [0.0033] | F-box protein [0.0028] | F-box only protein 43-like [0.0026]
taxonomic/database-like lexical output,B9J08_001639,(pine wood nematode) hypothetical protein,0.049319539464577,0.1,10,1,70,0,147,False,parenthetical organism-like prefix,"(pine wood nematode) hypothetical protein [0.0493] | Hypothetical protein [0.0216] | Actin-binding, cofilin/tropomyosin type [0.0134] | Myotubularin phosphatase domain-containing protein [0.0134] | Protein spaetzle [0.0025] | DNA_pol_E_B domain-containing protein [0.0012] | Actin-binding protein anillin [0.0011] | Actin-binding Rho-activating protein [0.0009] | Actin-related protein 2/3 complex subunit 3 [0.0009] | Actin-related protein 2/3 complex subunit 5 [0.0008]"
taxonomic/database-like lexical output,B9J08_000357,(pine wood nematode) hypothetical protein,0.0422080245692042,0.2,9,2,10,0,125,False,parenthetical organism-like prefix,"(pine wood nematode) hypothetical protein [0.0422] | Hypothetical protein [0.0257] | Hypothetical_protein [0.0120] | Zinc finger protein [0.0053] | Enhancer of mRNA-decapping protein 4-like [0.0039] | Hypothetical_protein_-_conserved [0.0027] | DUF3300 domain-containing protein [0.0026] | WGS project CBMG000000000 data, contig CS5907- [0.0025] | Enhancer of polycomb-like protein [0.0020] | Enhancer of mRNA-decapping protein 4 [0.0019]"
taxonomic/database-like lexical output,B9J08_001052,(pine wood nematode) hypothetical protein,0.0381567636467702,0.1,10,1,15,2,666,False,parenthetical organism-like prefix,(pine wood nematode) hypothetical protein [0.0382] | DUF3794 domain-containing protein [0.0332] | Vacuolar protein sorting-associated protein 13D [0.0289] | AAA domain-containing protein [0.0287] | DUF4524 domain-containing protein [0.0283] | Deleted in lung and esophageal cancer protein 1 [0.0214] | Hypothetical protein [0.0213] | ZU5 domain-containing protein [0.0170] | C2 domain-containing protein [0.0163] | Sodium channel protein Nach [0.0123]
taxonomic/database-like lexical output,B9J08_002084,"WGS project CCBQ000000000 data, contig 00015",0.0331861004711547,0.1,10,1,24,0,212,False,WGS/contig/scaffold wording,"WGS project CCBQ000000000 data, contig 00015 [0.0332] | U3 small nucleolar ribonucleoprotein protein MPP10 [0.0278] | WGS project CCBQ000000000 data, contig 00106 [0.0264] | SAS4 domain-containing protein [0.0245] | WGS project CCBQ000000000 data, contig 00107 [0.0163] | (pine wood nematode) hypothetical protein [0.0163] | IEC3 subunit of the Ino80 complex, chromatin re-modelling-domain-containing protein [0.0153] | WGS project CCBQ000000000 data, contig 00016 [0.0116] | WGS project CCBQ000000000 data, contig 00058 [0.0097] | Neuroguidin [0.0094]"
taxonomic/database-like lexical output,B9J08_000440,(thale cress) hypothetical protein,0.0292136294413877,0.1,10,1,22,0,351,False,parenthetical organism-like prefix,(thale cress) hypothetical protein [0.0292] | Ovule protein [0.0291] | Hypothetical protein [0.0224] | Ethylene-responsive transcription factor 1 [0.0215] | AP2/ERF domain-containing protein [0.0211] | Transcription factor [0.0117] | Protein FAR1-RELATED SEQUENCE [0.0113] | Ethylene responsive element binding protein [0.0093] | Ethylene-responsive transcription factor 5-like [0.0092] | Ethylene-responsive transcription factor [0.0087]
taxonomic/database-like lexical output,B9J08_003003,"WGS project CBMG000000000 data, contig CS5907-",0.0078601982443804,0.1,10,1,10,0,313,False,WGS/contig/scaffold wording,"WGS project CBMG000000000 data, contig CS5907- [0.0079] | Hypothetical protein [0.0075] | WGS project CBMI000000000 data, contig [0.0074] | BZIP domain-containing protein [0.0059] | Methyl-CpG-binding domain protein [0.0051] | WGS project CBME000000000 data, contig [0.0047] | BZIP_Maf domain-containing protein [0.0046] | BZIP transcription factor [0.0030] | WGS project CBMD000000000 data, contig [0.0027] | CAMP-regulated phosphoprotein 19-related protein [0.0026]"
