sequence_id,rank,go_id,probability,description,Is_Generic,Is_Obsolete,Is_Specific,Gene ID,source_id,Product Description,Protein Length,Ortholog count,Paralog count
B9J08_000021,6,GO:0044422,0.6841,organelle part,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,7,GO:0071704,0.6542,organic substance metabolic process,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,8,GO:0006807,0.6233,nitrogen compound metabolic process,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,9,GO:0043170,0.6152,macromolecule metabolic process,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,10,GO:0044428,0.6017,nuclear part,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,11,GO:1901572,0.5702,obsolete chemical substance metabolic process,False,True,False,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,12,GO:0008152,0.5642,metabolic process,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,13,GO:0043226,0.5558,organelle,True,False,False,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,14,GO:0044238,0.5418,primary metabolic process,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,15,GO:0043229,0.5281,intracellular organelle,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,16,GO:1901564,0.5167,organonitrogen compound metabolic process,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,17,GO:0065003,0.4692,protein-containing complex assembly,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,18,GO:0009987,0.4604,cellular process,True,False,False,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,19,GO:0043933,0.4496,protein-containing complex subunit organization,False,False,True,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
B9J08_000021,20,GO:0008370,0.4442,obsolete cellular component,False,True,False,B9J08_000021,B9J08_000021-t37_1,hypothetical protein,483,23,0
