Gene ID,Protein Length,Highest Probability,Number High-Confidence Predictions,Top Candidate GO ID,Top Candidate Description,Top Candidate Probability,Top 5 Candidate Predictions,Top 5 GO IDs,Flag_Unusual_or_Context_Sensitive,Flag_Specific_Function
B9J08_003853,575,0.9304,3,GO:0043167,ion binding,0.9304,ion binding (0.9304) | cation binding (0.9220) | metal ion binding (0.9189),GO:0043167 | GO:0043169 | GO:0046872,False,True
B9J08_004577,143,0.9302,5,GO:0071554,cell wall organization or biogenesis,0.9302,cell wall organization or biogenesis (0.9302) | cell wall organization (0.8861) | external encapsulating structure organization (0.8559) | cell wall (0.8531) | external encapsulating structure (0.8300),GO:0071554 | GO:0071555 | GO:0045229 | GO:0005618 | GO:0030312,False,True
B9J08_002753,91,0.9269,7,GO:0005618,cell wall,0.9269,cell wall (0.9269) | external encapsulating structure (0.9185) | cell wall organization or biogenesis (0.9077) | external encapsulating structure organization (0.8959) | cell wall organization (0.8890),GO:0005618 | GO:0030312 | GO:0071554 | GO:0045229 | GO:0071555,False,True
B9J08_000439,96,0.9264,3,GO:0016021,integral component of membrane,0.9264,integral component of membrane (0.9264) | mitochondrial part (0.9098) | intrinsic component of membrane (0.9072),GO:0016021 | GO:0044429 | GO:0031224,False,True
B9J08_003483,306,0.9254,10,GO:0051234,establishment of localization,0.9254,establishment of localization (0.9254) | transport (0.9205) | macromolecule localization (0.9130) | organic substance transport (0.8898) | protein localization (0.8849),GO:0051234 | GO:0006810 | GO:0033036 | GO:0071702 | GO:0008104,False,True
B9J08_002613,427,0.9237,5,GO:0003676,nucleic acid binding,0.9237,nucleic acid binding (0.9237) | heterocyclic compound binding (0.8918) | organic cyclic compound binding (0.8833) | DNA binding (0.8745) | heterocycle metabolic process (0.8032),GO:0003676 | GO:1901363 | GO:0097159 | GO:0003677 | GO:0046483,False,True
B9J08_002163,113,0.9189,2,GO:0044429,mitochondrial part,0.9189,mitochondrial part (0.9189) | membrane protein complex (0.8150),GO:0044429 | GO:0098796,False,True
B9J08_001147,109,0.916,5,GO:0044455,mitochondrial membrane part,0.916,mitochondrial membrane part (0.9160) | inner mitochondrial membrane protein complex (0.8880) | membrane protein complex (0.8823) | mitochondrial protein complex (0.8761) | mitochondrial part (0.8272),GO:0044455 | GO:0098800 | GO:0098796 | GO:0098798 | GO:0044429,False,True
B9J08_001341,230,0.9079,3,GO:0043167,ion binding,0.9079,ion binding (0.9079) | cation binding (0.8863) | metal ion binding (0.8829),GO:0043167 | GO:0043169 | GO:0046872,False,True
B9J08_000824,208,0.906,7,GO:0071555,cell wall organization,0.906,cell wall organization (0.9060) | cell wall organization or biogenesis (0.8961) | external encapsulating structure (0.8810) | cell wall (0.8775) | external encapsulating structure organization (0.8584),GO:0071555 | GO:0071554 | GO:0030312 | GO:0005618 | GO:0045229,False,True
B9J08_003149,289,0.9039,5,GO:0044429,mitochondrial part,0.9039,mitochondrial part (0.9039) | macromolecule biosynthetic process (0.8804) | organic substance biosynthetic process (0.8500) | cellular macromolecule metabolic process (0.8437) | cellular biosynthetic process (0.8214),GO:0044429 | GO:0009059 | GO:1901576 | GO:0044260 | GO:0044249,False,True
B9J08_000586,150,0.8971,3,GO:0044429,mitochondrial part,0.8971,mitochondrial part (0.8971) | intrinsic component of membrane (0.8707) | integral component of membrane (0.8466),GO:0044429 | GO:0031224 | GO:0016021,False,True
B9J08_003733,418,0.891,3,GO:0003676,nucleic acid binding,0.891,nucleic acid binding (0.8910) | heterocyclic compound binding (0.8461) | organic cyclic compound binding (0.8225),GO:0003676 | GO:1901363 | GO:0097159,False,True
B9J08_000626,459,0.8804,1,GO:0044429,mitochondrial part,0.8804,mitochondrial part (0.8804),GO:0044429,False,True
B9J08_000481,237,0.8782,2,GO:0044429,mitochondrial part,0.8782,mitochondrial part (0.8782) | organelle membrane (0.8302),GO:0044429 | GO:0031090,False,True
B9J08_002036,466,0.8687,3,GO:0006810,transport,0.8687,transport (0.8687) | establishment of localization (0.8604) | organic substance transport (0.8122),GO:0006810 | GO:0051234 | GO:0071702,False,True
B9J08_001520,293,0.8685,3,GO:0005618,cell wall,0.8685,cell wall (0.8685) | external encapsulating structure (0.8571) | intrinsic component of membrane (0.8136),GO:0005618 | GO:0030312 | GO:0031224,False,True
B9J08_003419,222,0.8517,1,GO:0044429,mitochondrial part,0.8517,mitochondrial part (0.8517),GO:0044429,False,True
B9J08_000429,371,0.8383,1,GO:0044429,mitochondrial part,0.8383,mitochondrial part (0.8383),GO:0044429,False,True
B9J08_002735,797,0.8326,3,GO:0031224,intrinsic component of membrane,0.8326,intrinsic component of membrane (0.8326) | external encapsulating structure (0.8123) | cell wall (0.8020),GO:0031224 | GO:0030312 | GO:0005618,False,True
B9J08_003260,93,0.8214,1,GO:0044429,mitochondrial part,0.8214,mitochondrial part (0.8214),GO:0044429,False,True
B9J08_002541,481,0.9848,2,GO:0031224,intrinsic component of membrane,0.9848,intrinsic component of membrane (0.9848) | integral component of membrane (0.9785),GO:0031224 | GO:0016021,False,False
B9J08_004614,326,0.9843,2,GO:0031224,intrinsic component of membrane,0.9843,intrinsic component of membrane (0.9843) | integral component of membrane (0.9790),GO:0031224 | GO:0016021,False,False
B9J08_002141,306,0.9814,3,GO:0016021,integral component of membrane,0.9814,integral component of membrane (0.9814) | intrinsic component of membrane (0.9729) | organelle membrane (0.8520),GO:0016021 | GO:0031224 | GO:0031090,False,False
B9J08_001548,136,0.9784,2,GO:0016021,integral component of membrane,0.9784,integral component of membrane (0.9784) | intrinsic component of membrane (0.9693),GO:0016021 | GO:0031224,False,False
B9J08_001053,440,0.9777,5,GO:0016021,integral component of membrane,0.9777,integral component of membrane (0.9777) | intrinsic component of membrane (0.9708) | protein-cysteine S-palmitoyltransferase activity (0.9060) | protein-cysteine S-acyltransferase activity (0.8665) | palmitoyltransferase activity (0.8455),GO:0016021 | GO:0031224 | GO:0019706 | GO:0019707 | GO:0016409,False,False
B9J08_002592,121,0.9751,2,GO:0031224,intrinsic component of membrane,0.9751,intrinsic component of membrane (0.9751) | integral component of membrane (0.9519),GO:0031224 | GO:0016021,False,False
B9J08_001223,82,0.9747,7,GO:1901576,organic substance biosynthetic process,0.9747,organic substance biosynthetic process (0.9747) | macromolecule biosynthetic process (0.9542) | cellular biosynthetic process (0.9487) | biosynthetic process (0.9460) | cellular macromolecule metabolic process (0.9405),GO:1901576 | GO:0009059 | GO:0044249 | GO:0009058 | GO:0044260,False,False
B9J08_003270,293,0.9729,2,GO:0016021,integral component of membrane,0.9729,integral component of membrane (0.9729) | intrinsic component of membrane (0.9663),GO:0016021 | GO:0031224,False,False
B9J08_002028,104,0.9689,2,GO:0031224,intrinsic component of membrane,0.9689,intrinsic component of membrane (0.9689) | integral component of membrane (0.9642),GO:0031224 | GO:0016021,False,False
B9J08_004290,294,0.9656,2,GO:0016021,integral component of membrane,0.9656,integral component of membrane (0.9656) | intrinsic component of membrane (0.9617),GO:0016021 | GO:0031224,False,False
B9J08_004575,321,0.9613,2,GO:0016021,integral component of membrane,0.9613,integral component of membrane (0.9613) | intrinsic component of membrane (0.9539),GO:0016021 | GO:0031224,False,False
B9J08_004031,1221,0.96,10,GO:1901564,organonitrogen compound metabolic process,0.96,organonitrogen compound metabolic process (0.9600) | cellular macromolecule metabolic process (0.9529) | protein metabolic process (0.9500) | proteolysis (0.9209) | organic substance catabolic process (0.9138),GO:1901564 | GO:0044260 | GO:0019538 | GO:0006508 | GO:1901575,False,False
B9J08_003694,604,0.9585,2,GO:0016021,integral component of membrane,0.9585,integral component of membrane (0.9585) | intrinsic component of membrane (0.9473),GO:0016021 | GO:0031224,False,False
B9J08_002021,289,0.9551,2,GO:0016021,integral component of membrane,0.9551,integral component of membrane (0.9551) | intrinsic component of membrane (0.9536),GO:0016021 | GO:0031224,False,False
B9J08_003845,1611,0.9528,11,GO:0044089,positive regulation of cellular component biogenesis,0.9528,positive regulation of cellular component biogenesis (0.9528) | positive regulation of cellular component organization (0.9371) | regulation of cellular component organization (0.9306) | regulation of cellular component biogenesis (0.9004) | regulation of organelle organization (0.8908),GO:0044089 | GO:0051130 | GO:0051128 | GO:0044087 | GO:0033043,False,False
B9J08_001287,208,0.9521,8,GO:0044260,cellular macromolecule metabolic process,0.9521,cellular macromolecule metabolic process (0.9521) | cellular aromatic compound metabolic process (0.9481) | nucleobase-containing compound metabolic process (0.9359) | organic cyclic compound metabolic process (0.9272) | cellular nitrogen compound metabolic process (0.9098),GO:0044260 | GO:0006725 | GO:0006139 | GO:1901360 | GO:0034641,False,False
B9J08_001978,125,0.9476,2,GO:0016021,integral component of membrane,0.9476,integral component of membrane (0.9476) | intrinsic component of membrane (0.9439),GO:0016021 | GO:0031224,False,False
B9J08_004276,299,0.9449,1,GO:0031224,intrinsic component of membrane,0.9449,intrinsic component of membrane (0.9449),GO:0031224,False,False
B9J08_005189,146,0.9447,2,GO:0031224,intrinsic component of membrane,0.9447,intrinsic component of membrane (0.9447) | integral component of membrane (0.9310),GO:0031224 | GO:0016021,False,False
B9J08_002843,416,0.9429,2,GO:0031224,intrinsic component of membrane,0.9429,intrinsic component of membrane (0.9429) | integral component of membrane (0.9416),GO:0031224 | GO:0016021,False,False
B9J08_002968,228,0.9404,2,GO:0016021,integral component of membrane,0.9404,integral component of membrane (0.9404) | intrinsic component of membrane (0.9342),GO:0016021 | GO:0031224,False,False
B9J08_002579,157,0.94,2,GO:0031224,intrinsic component of membrane,0.94,intrinsic component of membrane (0.9400) | integral component of membrane (0.9261),GO:0031224 | GO:0016021,False,False
B9J08_003672,119,0.9317,2,GO:0031224,intrinsic component of membrane,0.9317,intrinsic component of membrane (0.9317) | integral component of membrane (0.9206),GO:0031224 | GO:0016021,False,False
B9J08_001481,278,0.9305,2,GO:0016021,integral component of membrane,0.9305,integral component of membrane (0.9305) | intrinsic component of membrane (0.9277),GO:0016021 | GO:0031224,False,False
B9J08_003551,775,0.9283,3,GO:0031224,intrinsic component of membrane,0.9283,intrinsic component of membrane (0.9283) | anchored component of membrane (0.9020) | plasma membrane (0.8330),GO:0031224 | GO:0031225 | GO:0005886,False,False
B9J08_001219,344,0.9265,2,GO:0016021,integral component of membrane,0.9265,integral component of membrane (0.9265) | intrinsic component of membrane (0.9186),GO:0016021 | GO:0031224,False,False
B9J08_004101,286,0.9249,2,GO:0016021,integral component of membrane,0.9249,integral component of membrane (0.9249) | intrinsic component of membrane (0.9236),GO:0016021 | GO:0031224,False,False
B9J08_004084,229,0.9236,2,GO:0031224,intrinsic component of membrane,0.9236,intrinsic component of membrane (0.9236) | plasma membrane (0.8472),GO:0031224 | GO:0005886,False,False
B9J08_003337,109,0.9193,2,GO:0016021,integral component of membrane,0.9193,integral component of membrane (0.9193) | intrinsic component of membrane (0.9028),GO:0016021 | GO:0031224,False,False
B9J08_002486,143,0.9192,2,GO:0031224,intrinsic component of membrane,0.9192,intrinsic component of membrane (0.9192) | integral component of membrane (0.9043),GO:0031224 | GO:0016021,False,False
B9J08_001942,413,0.9177,5,GO:0006725,cellular aromatic compound metabolic process,0.9177,cellular aromatic compound metabolic process (0.9177) | nucleobase-containing compound metabolic process (0.9010) | organic cyclic compound metabolic process (0.8923) | heterocycle metabolic process (0.8844) | cellular nitrogen compound metabolic process (0.8730),GO:0006725 | GO:0006139 | GO:1901360 | GO:0046483 | GO:0034641,False,False
B9J08_004376,337,0.9154,2,GO:0016021,integral component of membrane,0.9154,integral component of membrane (0.9154) | intrinsic component of membrane (0.9131),GO:0016021 | GO:0031224,False,False
B9J08_002372,111,0.9126,2,GO:0031224,intrinsic component of membrane,0.9126,intrinsic component of membrane (0.9126) | integral component of membrane (0.8959),GO:0031224 | GO:0016021,False,False
B9J08_000806,303,0.9118,2,GO:0016021,integral component of membrane,0.9118,integral component of membrane (0.9118) | intrinsic component of membrane (0.8804),GO:0016021 | GO:0031224,False,False
B9J08_004442,282,0.9098,2,GO:0016021,integral component of membrane,0.9098,integral component of membrane (0.9098) | intrinsic component of membrane (0.9060),GO:0016021 | GO:0031224,False,False
B9J08_005546,332,0.9096,2,GO:0016021,integral component of membrane,0.9096,integral component of membrane (0.9096) | intrinsic component of membrane (0.8898),GO:0016021 | GO:0031224,False,False
B9J08_005547,312,0.9073,2,GO:0016021,integral component of membrane,0.9073,integral component of membrane (0.9073) | intrinsic component of membrane (0.8934),GO:0016021 | GO:0031224,False,False
B9J08_001074,104,0.9071,2,GO:0031224,intrinsic component of membrane,0.9071,intrinsic component of membrane (0.9071) | integral component of membrane (0.8969),GO:0031224 | GO:0016021,False,False
B9J08_004418,150,0.9011,2,GO:0031224,intrinsic component of membrane,0.9011,intrinsic component of membrane (0.9011) | integral component of membrane (0.8929),GO:0031224 | GO:0016021,False,False
B9J08_005470,434,0.9002,6,GO:0034641,cellular nitrogen compound metabolic process,0.9002,cellular nitrogen compound metabolic process (0.9002) | cellular aromatic compound metabolic process (0.8991) | nucleobase-containing compound metabolic process (0.8853) | heterocycle metabolic process (0.8826) | organic cyclic compound metabolic process (0.8778),GO:0034641 | GO:0006725 | GO:0006139 | GO:0046483 | GO:1901360,False,False
B9J08_005576,541,0.8993,2,GO:0016021,integral component of membrane,0.8993,integral component of membrane (0.8993) | intrinsic component of membrane (0.8864),GO:0016021 | GO:0031224,False,False
B9J08_002498,174,0.8989,2,GO:0016021,integral component of membrane,0.8989,integral component of membrane (0.8989) | intrinsic component of membrane (0.8800),GO:0016021 | GO:0031224,False,False
B9J08_003794,639,0.8945,2,GO:0031224,intrinsic component of membrane,0.8945,intrinsic component of membrane (0.8945) | integral component of membrane (0.8631),GO:0031224 | GO:0016021,False,False
B9J08_004187,152,0.8931,2,GO:0016021,integral component of membrane,0.8931,integral component of membrane (0.8931) | intrinsic component of membrane (0.8708),GO:0016021 | GO:0031224,False,False
B9J08_005439,317,0.8921,1,GO:0044451,nucleoplasm part,0.8921,nucleoplasm part (0.8921),GO:0044451,False,False
B9J08_000608,244,0.885,1,GO:0044432,endoplasmic reticulum part,0.885,endoplasmic reticulum part (0.8850),GO:0044432,False,False
B9J08_002256,279,0.8846,2,GO:0016021,integral component of membrane,0.8846,integral component of membrane (0.8846) | intrinsic component of membrane (0.8615),GO:0016021 | GO:0031224,False,False
B9J08_003704,316,0.8801,12,GO:0009889,regulation of biosynthetic process,0.8801,regulation of biosynthetic process (0.8801) | regulation of nucleobase-containing compound metabolic process (0.8770) | regulation of cellular biosynthetic process (0.8761) | regulation of macromolecule metabolic process (0.8631) | regulation of cellular metabolic process (0.8537),GO:0009889 | GO:0019219 | GO:0031326 | GO:0060255 | GO:0031323,False,False
B9J08_002656,297,0.8775,2,GO:0016021,integral component of membrane,0.8775,integral component of membrane (0.8775) | intrinsic component of membrane (0.8537),GO:0016021 | GO:0031224,False,False
B9J08_000052,196,0.8745,2,GO:0016021,integral component of membrane,0.8745,integral component of membrane (0.8745) | intrinsic component of membrane (0.8494),GO:0016021 | GO:0031224,False,False
B9J08_001189,508,0.873,2,GO:0031224,intrinsic component of membrane,0.873,intrinsic component of membrane (0.8730) | integral component of membrane (0.8703),GO:0031224 | GO:0016021,False,False
B9J08_005557,184,0.8724,1,GO:0031225,anchored component of membrane,0.8724,anchored component of membrane (0.8724),GO:0031225,False,False
B9J08_000664,391,0.8717,3,GO:0016021,integral component of membrane,0.8717,integral component of membrane (0.8717) | plasma membrane (0.8539) | intrinsic component of membrane (0.8488),GO:0016021 | GO:0005886 | GO:0031224,False,False
B9J08_001290,671,0.8714,6,GO:0034641,cellular nitrogen compound metabolic process,0.8714,cellular nitrogen compound metabolic process (0.8714) | nucleobase-containing compound metabolic process (0.8586) | cellular aromatic compound metabolic process (0.8323) | heterocycle metabolic process (0.8275) | organic cyclic compound metabolic process (0.8135),GO:0034641 | GO:0006139 | GO:0006725 | GO:0046483 | GO:1901360,False,False
B9J08_002228,127,0.8705,2,GO:0016021,integral component of membrane,0.8705,integral component of membrane (0.8705) | intrinsic component of membrane (0.8592),GO:0016021 | GO:0031224,False,False
B9J08_002731,350,0.8678,3,GO:0060255,regulation of macromolecule metabolic process,0.8678,regulation of macromolecule metabolic process (0.8678) | positive regulation of biological process (0.8186) | regulation of metabolic process (0.8185),GO:0060255 | GO:0048518 | GO:0019222,False,False
B9J08_001491,301,0.8608,2,GO:0016021,integral component of membrane,0.8608,integral component of membrane (0.8608) | intrinsic component of membrane (0.8262),GO:0016021 | GO:0031224,False,False
B9J08_004903,264,0.8596,2,GO:0048518,positive regulation of biological process,0.8596,positive regulation of biological process (0.8596) | positive regulation of cellular process (0.8428),GO:0048518 | GO:0048522,False,False
B9J08_005543,416,0.8557,2,GO:0030427,site of polarized growth,0.8557,site of polarized growth (0.8557) | cellular bud neck (0.8487),GO:0030427 | GO:0005935,False,False
B9J08_001470,524,0.8542,1,GO:0044430,cytoskeletal part,0.8542,cytoskeletal part (0.8542),GO:0044430,False,False
B9J08_000597,473,0.8515,2,GO:0031224,intrinsic component of membrane,0.8515,intrinsic component of membrane (0.8515) | integral component of membrane (0.8432),GO:0031224 | GO:0016021,False,False
B9J08_003325,429,0.8513,2,GO:0005886,plasma membrane,0.8513,plasma membrane (0.8513) | intrinsic component of membrane (0.8372),GO:0005886 | GO:0031224,False,False
B9J08_000652,255,0.8511,2,GO:0031224,intrinsic component of membrane,0.8511,intrinsic component of membrane (0.8511) | integral component of membrane (0.8142),GO:0031224 | GO:0016021,False,False
B9J08_003025,418,0.8346,7,GO:0010556,regulation of macromolecule biosynthetic process,0.8346,regulation of macromolecule biosynthetic process (0.8346) | regulation of cellular macromolecule biosynthetic process (0.8254) | regulation of metabolic process (0.8235) | regulation of biosynthetic process (0.8225) | regulation of cellular metabolic process (0.8175),GO:0010556 | GO:2000112 | GO:0019222 | GO:0009889 | GO:0031323,False,False
B9J08_000653,578,0.8345,2,GO:0044428,nuclear part,0.8345,nuclear part (0.8345) | regulation of cellular metabolic process (0.8011),GO:0044428 | GO:0031323,False,False
B9J08_001683,336,0.8325,2,GO:1901360,organic cyclic compound metabolic process,0.8325,organic cyclic compound metabolic process (0.8325) | cellular nitrogen compound metabolic process (0.8046),GO:1901360 | GO:0034641,False,False
B9J08_002811,198,0.8305,2,GO:0031224,intrinsic component of membrane,0.8305,intrinsic component of membrane (0.8305) | integral component of membrane (0.8231),GO:0031224 | GO:0016021,False,False
B9J08_002754,697,0.8296,2,GO:0016021,integral component of membrane,0.8296,integral component of membrane (0.8296) | intrinsic component of membrane (0.8020),GO:0016021 | GO:0031224,False,False
B9J08_004863,94,0.8293,1,GO:0031225,anchored component of membrane,0.8293,anchored component of membrane (0.8293),GO:0031225,False,False
B9J08_004790,396,0.8291,2,GO:0044248,cellular catabolic process,0.8291,cellular catabolic process (0.8291) | cellular macromolecule metabolic process (0.8137),GO:0044248 | GO:0044260,False,False
B9J08_003651,250,0.829,2,GO:0016021,integral component of membrane,0.829,integral component of membrane (0.8290) | intrinsic component of membrane (0.8260),GO:0016021 | GO:0031224,False,False
B9J08_001638,213,0.8279,2,GO:1901363,heterocyclic compound binding,0.8279,heterocyclic compound binding (0.8279) | organic cyclic compound binding (0.8182),GO:1901363 | GO:0097159,False,False
B9J08_000259,188,0.822,1,GO:0031224,intrinsic component of membrane,0.822,intrinsic component of membrane (0.8220),GO:0031224,False,False
B9J08_001500,80,0.8191,2,GO:0016021,integral component of membrane,0.8191,integral component of membrane (0.8191) | intrinsic component of membrane (0.8151),GO:0016021 | GO:0031224,False,False
B9J08_002296,196,0.8187,1,GO:0031224,intrinsic component of membrane,0.8187,intrinsic component of membrane (0.8187),GO:0031224,False,False
B9J08_000890,207,0.8138,1,GO:0051234,establishment of localization,0.8138,establishment of localization (0.8138),GO:0051234,False,False
B9J08_001549,152,0.8115,1,GO:0031224,intrinsic component of membrane,0.8115,intrinsic component of membrane (0.8115),GO:0031224,False,False
B9J08_004597,325,0.8113,2,GO:0016021,integral component of membrane,0.8113,integral component of membrane (0.8113) | intrinsic component of membrane (0.8098),GO:0016021 | GO:0031224,False,False
B9J08_005063,120,0.8102,2,GO:0031224,intrinsic component of membrane,0.8102,intrinsic component of membrane (0.8102) | integral component of membrane (0.8043),GO:0031224 | GO:0016021,False,False
B9J08_004615,184,0.8094,1,GO:0031224,intrinsic component of membrane,0.8094,intrinsic component of membrane (0.8094),GO:0031224,False,False
B9J08_000911,186,0.8091,1,GO:0098772,molecular function regulator,0.8091,molecular function regulator (0.8091),GO:0098772,False,False
B9J08_004416,233,0.8004,1,GO:0016021,integral component of membrane,0.8004,integral component of membrane (0.8004),GO:0016021,False,False
