Protein,Gene ID,source_id,Product Description,Protein Length,Ortholog count,Paralog count,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top10,ProtNLM_Top1_Generic,ProtNLM_Score_GE_0.2,ProtNLM_Score_GE_0.5,ProtNLM_Score_GE_0.8,ProtNote_Top_GO,ProtNote_Top_GO_Description,ProtNote_Top_Probability,ProtNote_Top_Rank,ProtNote_Top_Specific_GO,ProtNote_Top_Specific_Description,ProtNote_Top_Specific_Probability,ProtNote_Top_Specific_Rank,ProtNote_NonObsolete_Count,ProtNote_Specific_Count,ProtNote_HighConf_Specific_Count,ProtNote_All_Specific_Descriptions,Has_ProtNote_Specific_Prediction,Has_HighConf_ProtNote_Specific,ProtNLM_NonGeneric,Candidate_Priority_Score,Beam_Count,Beam_Unique_Normalised_Labels,Beam_Top_Label_Repetition_Count,Beam_Exact_Lexical_Coherence,Beam_Most_Repeated_Normalised_Label,Beam_Normalised_Labels,Suspicious_Output_Reason,Suspicious_Output_Rule_Match,Ortholog_Count_Quartile_Bin,Protein_Length_Quartile_Bin
B9J08_005470,B9J08_005470,B9J08_005470-t37_1,hypothetical protein,434,23,0,DNA translocase FtsK,0.1736134520130893,"DNA translocase FtsK [0.1736] | MCM_lid domain-containing protein [0.0961] | Mitochondrial zinc maintenance protein 1, mitochondrial [0.0261] | MCM3AP_GANP domain-containing protein [0.0185] | DNA-directed RNA polymerase III subunit RPC3 [0.0142] | PET112-like protein [0.0142] | Bgt- [0.0112] | PET112 (Y [0.0105] | PET127-like protein [0.0069] | PET127 (Y [0.0062]",False,False,False,False,GO:0044237,cellular metabolic process,0.9429,1,GO:0044237,cellular metabolic process,0.9429,1,19,14,14,cellular metabolic process | nitrogen compound metabolic process | organic substance metabolic process | metabolic process | macromolecule metabolic process | cellular nitrogen compound metabolic process | cellular aromatic compound metabolic process | nucleobase-containing compound metabolic process | heterocycle metabolic process | organic cyclic compound metabolic process | primary metabolic process | nucleic acid metabolic process | cellular macromolecule metabolic process | DNA metabolic process,True,True,True,3,10,10,1,0.1,"bgt | dna directed rna polymerase iii subunit rpc3 | dna translocase ftsk | mcm lid domain containing protein | mcm3ap ganp domain containing protein | mitochondrial zinc maintenance protein 1, mitochondrial | pet112 (y | pet112 like protein | pet127 (y | pet127 like protein","dna translocase ftsk | mcm lid domain containing protein | mitochondrial zinc maintenance protein 1, mitochondrial | mcm3ap ganp domain containing protein | dna directed rna polymerase iii subunit rpc3 | pet112 like protein | bgt | pet112 (y | pet127 like protein | pet127 (y",,False,"(22.0, 1864.0]","(433.0, 1649.0]"
B9J08_000224,B9J08_000224,B9J08_000224-t37_1,hypothetical protein,248,2,0,DUF817 domain-containing protein,0.1698047993897251,DUF817 domain-containing protein [0.1698] | DUF817 family protein [0.1054] | DUF418 domain-containing protein [0.0825] | Conserved plasma membrane protein [0.0784] | DUF887-domain-containing protein [0.0215] | ER lumen protein retaining receptor [0.0185] | ER lumen protein-retaining receptor C28H8.4 [0.0183] | UPF0641 membrane protein [0.0162] | ER lumen protein-retaining receptor [0.0147] | MASE4 domain-containing protein [0.0129],False,False,False,False,GO:0044425,membrane part,0.8407,1,GO:0044422,organelle part,0.7724,3,17,10,6,organelle part | intracellular organelle part | intracellular part | endoplasmic reticulum part | intrinsic component of membrane | integral component of membrane | Golgi apparatus part | endoplasmic reticulum membrane | amide binding | organelle membrane,True,True,True,3,10,9,2,0.2,er lumen protein retaining receptor,duf817 domain containing protein | duf817 family protein | duf418 domain containing protein | conserved plasma membrane protein | duf887 domain containing protein | er lumen protein retaining receptor | er lumen protein retaining receptor c28h8.4 | upf0641 membrane protein | er lumen protein retaining receptor | mase4 domain containing protein,,False,"(-0.001, 8.0]","(173.0, 289.0]"
B9J08_004615,B9J08_004615,B9J08_004615-t37_1,hypothetical protein,184,5,0,PGG domain-containing protein,0.168406982764762,PGG domain-containing protein [0.1684] | Hypothetical protein [0.0317] | PHM7_cyt domain-containing protein [0.0293] | (thale cress) hypothetical protein [0.0234] | (pine wood nematode) hypothetical protein [0.0079] | T2SSF domain-containing protein [0.0068] | DUF4149 domain-containing protein [0.0063] | PGG domain containing protein [0.0060] | Organic cation transporter [0.0025] | ABC transporter [0.0015],False,False,False,False,GO:0031224,intrinsic component of membrane,0.8094,1,GO:0031224,intrinsic component of membrane,0.8094,1,17,12,3,intrinsic component of membrane | integral component of membrane | membrane | bounding membrane of organelle | leaflet of membrane bilayer | Golgi membrane | intracellular organelle part | organelle membrane | plasma membrane | organelle part | intracellular part | membrane stack,True,True,True,3,10,9,2,0.2,pgg domain containing protein,pgg domain containing protein | hypothetical protein | phm7 cyt domain containing protein | (thale cress) hypothetical protein | (pine wood nematode) hypothetical protein | t2ssf domain containing protein | duf4149 domain containing protein | pgg domain containing protein | organic cation transporter | abc transporter,,False,"(-0.001, 8.0]","(173.0, 289.0]"
B9J08_003929,B9J08_003929,B9J08_003929-t37_1,hypothetical protein,466,8,0,CUB domain-containing protein,0.166198432136526,CUB domain-containing protein [0.1662] | Hypothetical protein [0.0599] | (pine wood nematode) hypothetical protein [0.0530] | Arrestin_N domain-containing protein [0.0390] | Tolloid-like protein 2 [0.0291] | VWFD domain-containing protein [0.0233] | MATH domain-containing protein [0.0194] | Tolloid-like protein 1 [0.0125] | DUF1619 domain-containing protein [0.0077] | DUF1769-domain-containing protein [0.0043],False,False,False,False,GO:0005575,cellular_component,0.8135,1,GO:0044424,intracellular part,0.5587,3,18,11,1,intracellular part | multi-organism process | interspecies interaction between organisms | membrane | external encapsulating structure part | protein-containing complex | intracellular organelle | methionine-tRNA ligase activity | intracellular protein-containing complex | ligase activity | symbiotic process,True,True,True,3,10,10,1,0.1,(pine wood nematode) hypothetical protein | arrestin n domain containing protein | cub domain containing protein | duf1619 domain containing protein | duf1769 domain containing protein | hypothetical protein | math domain containing protein | tolloid like protein 1 | tolloid like protein 2 | vwfd domain containing protein,cub domain containing protein | hypothetical protein | (pine wood nematode) hypothetical protein | arrestin n domain containing protein | tolloid like protein 2 | vwfd domain containing protein | math domain containing protein | tolloid like protein 1 | duf1619 domain containing protein | duf1769 domain containing protein,,False,"(-0.001, 8.0]","(433.0, 1649.0]"
B9J08_001954,B9J08_001954,B9J08_001954-t37_1,hypothetical protein,799,19,0,BRCT domain-containing protein,0.1649358533160662,BRCT domain-containing protein [0.1649] | Protein transport protein sec16 [0.0857] | Rab-GAP TBC domain-containing protein [0.0672] | DUF3818 domain-containing protein [0.0453] | PH domain-containing protein [0.0373] | Mus7/MMS22 family-domain-containing protein [0.0233] | Protein FYV8 [0.0195] | Similar to [0.0124] | Protein FYV10 [0.0102] | Rab-GTPase-TBC domain-containing protein [0.0076],False,False,False,False,GO:0008150,biological_process,0.8515,1,GO:0043170,macromolecule metabolic process,0.6604,3,19,16,16,macromolecule metabolic process | organic substance metabolic process | cellular metabolic process | metabolic process | regulation of biological process | primary metabolic process | regulation of nucleobase-containing compound metabolic process | nitrogen compound metabolic process | cellular macromolecule metabolic process | regulation of RNA metabolic process | heterochromatin assembly | regulation of biosynthetic process | regulation of metabolic process | regulation of cellular biosynthetic process | regulation of macromolecule metabolic process | regulation of cellular process,True,True,True,3,10,10,1,0.1,brct domain containing protein | duf3818 domain containing protein | mus7/mms22 family domain containing protein | ph domain containing protein | protein fyv10 | protein fyv8 | protein transport protein sec16 | rab gap tbc domain containing protein | rab gtpase tbc domain containing protein | similar to,brct domain containing protein | protein transport protein sec16 | rab gap tbc domain containing protein | duf3818 domain containing protein | ph domain containing protein | mus7/mms22 family domain containing protein | protein fyv8 | similar to | protein fyv10 | rab gtpase tbc domain containing protein,,False,"(17.0, 22.0]","(433.0, 1649.0]"
B9J08_003487,B9J08_003487,B9J08_003487-t37_1,hypothetical protein,66,5,0,Secreted protein,0.1622546705586142,"Secreted protein [0.1623] | GPI anchored protein [0.0327] | Expressed protein [0.0293] | Secreted peptide [0.0261] | GPI anchored protein, [0.0128] | Hypothetical_protein [0.0124] | Repressed By RIM101 protein 1 [0.0060] | Repressed By RIM101 protein 1-like [0.0039] | GPI-anchored protein [0.0028] | WGS project CABT00000000 data, contig 2.2 [0.0026]",False,False,False,False,GO:0005575,cellular_component,0.9675,1,GO:0016020,membrane,0.7116,4,18,12,5,membrane | plasma membrane | organelle part | intrinsic component of membrane | response to stimulus | cellular response to stimulus | cell outer membrane | regulation of growth | intracellular part | positive regulation of cell death | positive regulation of cellular process | regulation of cellular process,True,True,True,3,10,8,3,0.3,gpi anchored protein,"secreted protein | gpi anchored protein | expressed protein | secreted peptide | gpi anchored protein | hypothetical protein | repressed by rim101 protein 1 | repressed by rim101 protein 1 like | gpi anchored protein | wgs project cabt00000000 data, contig 2.2",,False,"(-0.001, 8.0]","(65.999, 173.0]"
B9J08_000859,B9J08_000859,B9J08_000859-t37_1,hypothetical protein,499,4,0,Flocculation protein FLO11,0.1620616529502164,Flocculation protein FLO11 [0.1621] | Flocculation protein FLO11-like [0.1543] | PA14 domain-containing protein [0.0274] | SEA domain-containing protein [0.0242] | Mucin-5AC-like [0.0223] | Flocculation protein FLO10 [0.0149] | Flocculation protein FLO9 [0.0145] | Mucin-2-like [0.0126] | WSC domain-containing protein [0.0093] | Mucin-5AC [0.0075],False,False,False,False,GO:0005575,cellular_component,0.9586,1,GO:0031225,anchored component of membrane,0.7962,4,16,11,5,anchored component of membrane | intrinsic component of membrane | plasma membrane | membrane | extracellular region | cell wall | external encapsulating structure part | cell wall organization or biogenesis | cellular component biogenesis | integral component of membrane | external encapsulating structure,True,True,True,3,10,10,1,0.1,flocculation protein flo10 | flocculation protein flo11 | flocculation protein flo11 like | flocculation protein flo9 | mucin 2 like | mucin 5ac | mucin 5ac like | pa14 domain containing protein | sea domain containing protein | wsc domain containing protein,flocculation protein flo11 | flocculation protein flo11 like | pa14 domain containing protein | sea domain containing protein | mucin 5ac like | flocculation protein flo10 | flocculation protein flo9 | mucin 2 like | wsc domain containing protein | mucin 5ac,,False,"(-0.001, 8.0]","(433.0, 1649.0]"
B9J08_004101,B9J08_004101,B9J08_004101-t37_1,hypothetical protein,286,1760,2,Aa_trans domain-containing protein,0.1610797824540927,"Aa_trans domain-containing protein [0.1611] | Hypothetical protein [0.0434] | Acyl_transf_3 domain-containing protein [0.0361] | Hypothetical membrane protein [0.0349] | Ceramidase [0.0316] | Transmembrane protein [0.0295] | Acyltransferase [0.0283] | Transmembrane protein, [0.0232] | Conserved hypothetical membrane protein [0.0174] | Hypothetical_protein [0.0172]",False,False,False,False,GO:0044425,membrane part,0.9565,1,GO:0016021,integral component of membrane,0.9249,3,17,10,10,"integral component of membrane | intrinsic component of membrane | membrane | hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides | organonitrogen compound metabolic process | nitrogen compound metabolic process | organic substance metabolic process | cellular metabolic process | hydrolase activity | metabolic process",True,True,True,3,10,8,2,0.2,hypothetical protein | transmembrane protein,aa trans domain containing protein | hypothetical protein | acyl transf 3 domain containing protein | hypothetical membrane protein | ceramidase | transmembrane protein | acyltransferase | transmembrane protein | conserved hypothetical membrane protein | hypothetical protein,,False,"(22.0, 1864.0]","(173.0, 289.0]"
B9J08_000919,B9J08_000919,B9J08_000919-t37_1,hypothetical protein,234,19,0,GPI-anchored protein,0.1586656735350159,"GPI-anchored protein [0.1587] | GPI-anchor transamidase [0.1508] | GPI anchored protein [0.1310] | Gpi anchored protein [0.0341] | GPI-anchored protein 43 [0.0318] | Gpi anchored serine-threonine rich protein [0.0170] | GPI anchored protein, [0.0147] | Gpi anchored cell wall protein [0.0124] | Twinfilin-1 [0.0108] | AAI domain-containing protein [0.0103]",False,False,False,False,GO:0005575,cellular_component,0.9633,1,GO:0031224,intrinsic component of membrane,0.7055,4,17,9,6,intrinsic component of membrane | membrane | anchored component of membrane | integral component of membrane | plasma membrane | extracellular region | intracellular organelle | regulation of cell growth | intracellular part,True,True,True,3,10,7,4,0.4,gpi anchored protein,gpi anchored protein | gpi anchor transamidase | gpi anchored protein | gpi anchored protein | gpi anchored protein 43 | gpi anchored serine threonine rich protein | gpi anchored protein | gpi anchored cell wall protein | twinfilin 1 | aai domain containing protein,,False,"(17.0, 22.0]","(173.0, 289.0]"
B9J08_002507,B9J08_002507,B9J08_002507-t37_1,hypothetical protein,120,5,0,Hydrophobic surface binding protein A-domain-containing protein,0.1569620709547347,Hydrophobic surface binding protein A-domain-containing protein [0.1570] | Secreted protein [0.0971] | Opaque-phase-specific protein OP4 [0.0495] | Cell wall mannoprotein 1 [0.0456] | Hydrophobic surface binding protein A domain-containing protein [0.0318] | Hydrophobic surface binding protein A [0.0286] | Similar to [0.0281] | Str. FM013 [0.0212] | Antigenic cell wall protein [0.0201] | Hydrophobic surface binding protein [0.0091],False,False,False,False,GO:0005575,cellular_component,0.757,1,GO:0044462,external encapsulating structure part,0.5023,4,18,12,1,"external encapsulating structure part | multi-organism process | extracellular region | transferase activity | external encapsulating structure | periplasmic space | cell wall | membrane | outer membrane-bounded periplasmic space | bacterial-type flagellum part | pathogenesis | transferase activity, transferring phosphorus-containing groups",True,True,True,3,10,9,2,0.2,hydrophobic surface binding protein a domain containing protein,hydrophobic surface binding protein a domain containing protein | secreted protein | opaque phase specific protein op4 | cell wall mannoprotein 1 | hydrophobic surface binding protein a domain containing protein | hydrophobic surface binding protein a | similar to | str. fm013 | antigenic cell wall protein | hydrophobic surface binding protein,,False,"(-0.001, 8.0]","(65.999, 173.0]"
B9J08_001268,B9J08_001268,B9J08_001268-t37_1,hypothetical protein,276,5,0,Huntingtin,0.1564240338635899,Huntingtin [0.1564] | Huntingtin-like [0.0785] | Sister chromatid cohesion PDS5-like protein [0.0395] | Aberrant lateral root formation 4 [0.0247] | FRY like transcription coactivator [0.0206] | HEAT repeat-containing protein 1 [0.0196] | Serine/threonine-protein kinase ATR [0.0161] | Huntingtin-like protein [0.0118] | Nipped-B protein [0.0104] | Condensin complex subunit 1 [0.0084],False,False,False,False,GO:0008150,biological_process,0.7576,1,GO:0098772,molecular function regulator,0.6607,2,20,15,5,molecular function regulator | enzyme regulator activity | enzyme activator activity | molecular function activator activity | intracellular part | transport | organelle part | regulation of hydrolase activity | positive regulation of hydrolase activity | nitrogen compound transport | organic cyclic compound binding | organic substance transport | localization | establishment of localization | heterocyclic compound binding,True,True,True,3,10,10,1,0.1,aberrant lateral root formation 4 | condensin complex subunit 1 | fry like transcription coactivator | heat repeat containing protein 1 | huntingtin | huntingtin like | huntingtin like protein | nipped b protein | serine/threonine protein kinase atr | sister chromatid cohesion pds5 like protein,huntingtin | huntingtin like | sister chromatid cohesion pds5 like protein | aberrant lateral root formation 4 | fry like transcription coactivator | heat repeat containing protein 1 | serine/threonine protein kinase atr | huntingtin like protein | nipped b protein | condensin complex subunit 1,,False,"(-0.001, 8.0]","(173.0, 289.0]"
B9J08_004186,B9J08_004186,B9J08_004186-t37_1,hypothetical protein,597,23,0,Pentatricopeptide repeat-containing protein,0.1554247288659271,"Pentatricopeptide repeat-containing protein [0.1554] | Pentatricopeptide repeat protein [0.0793] | Pentatricopeptide repeat-containing protein, mitochondrial [0.0473] | Pentatricopeptide repeat domain-containing protein [0.0408] | Leucine-rich PPR motif-containing protein, mitochondrial [0.0370] | Protein PTCD3 homolog, mitochondrial [0.0214] | Pentatricopeptide repeat-containing protein At1g55890, mitochondrial-like [0.0191] | Pentatricopeptide repeat-containing protein At1g55890, mitochondrial [0.0184] | TPR_REGION domain-containing protein [0.0167] | Pentatricopeptide repeat-containing protein At1g51965, mitochondrial [0.0162]",False,False,False,False,GO:0005575,cellular_component,0.9679,1,GO:0044424,intracellular part,0.9513,3,19,10,10,intracellular part | intracellular organelle | intracellular membrane-bounded organelle | mitochondrion | macromolecule metabolic process | metabolic process | organic substance metabolic process | nitrogen compound metabolic process | cellular metabolic process | primary metabolic process,True,True,True,3,10,10,1,0.1,"leucine rich ppr motif containing protein, mitochondrial | pentatricopeptide repeat containing protein | pentatricopeptide repeat containing protein at1g51965, mitochondrial | pentatricopeptide repeat containing protein at1g55890, mitochondrial | pentatricopeptide repeat containing protein at1g55890, mitochondrial like | pentatricopeptide repeat containing protein, mitochondrial | pentatricopeptide repeat domain containing protein | pentatricopeptide repeat protein | protein ptcd3 homolog, mitochondrial | tpr region domain containing protein","pentatricopeptide repeat containing protein | pentatricopeptide repeat protein | pentatricopeptide repeat containing protein, mitochondrial | pentatricopeptide repeat domain containing protein | leucine rich ppr motif containing protein, mitochondrial | protein ptcd3 homolog, mitochondrial | pentatricopeptide repeat containing protein at1g55890, mitochondrial like | pentatricopeptide repeat containing protein at1g55890, mitochondrial | tpr region domain containing protein | pentatricopeptide repeat containing protein at1g51965, mitochondrial",,False,"(22.0, 1864.0]","(433.0, 1649.0]"
B9J08_003751,B9J08_003751,B9J08_003751-t37_1,hypothetical protein,222,8,0,CULLIN_2 domain-containing protein,0.1541298896436214,CULLIN_2 domain-containing protein [0.1541] | Exocyst complex component 5 [0.0719] | Sec3_C domain-containing protein [0.0571] | Exocyst complex component Sec10 [0.0534] | FH2 domain-containing protein [0.0255] | Hypothetical protein [0.0252] | Programmed cell death protein 10 [0.0165] | E3 SUMO-protein ligase MMS21-like [0.0126] | E3 SUMO-protein ligase KIAA1586-like [0.0110] | E3 SUMO-protein ligase MMS21 [0.0083],False,False,False,False,GO:0008150,biological_process,0.9018,1,GO:0044424,intracellular part,0.7732,4,20,12,12,intracellular part | negative regulation of biological process | regulation of biological process | negative regulation of response to stimulus | cytosol | protein binding | regulation of response to stimulus | membrane | negative regulation of signal transduction | identical protein binding | organelle membrane | regulation of signal transduction,True,True,True,3,10,10,1,0.1,cullin 2 domain containing protein | e3 sumo protein ligase kiaa1586 like | e3 sumo protein ligase mms21 | e3 sumo protein ligase mms21 like | exocyst complex component 5 | exocyst complex component sec10 | fh2 domain containing protein | hypothetical protein | programmed cell death protein 10 | sec3 c domain containing protein,cullin 2 domain containing protein | exocyst complex component 5 | sec3 c domain containing protein | exocyst complex component sec10 | fh2 domain containing protein | hypothetical protein | programmed cell death protein 10 | e3 sumo protein ligase mms21 like | e3 sumo protein ligase kiaa1586 like | e3 sumo protein ligase mms21,,False,"(-0.001, 8.0]","(173.0, 289.0]"
B9J08_005080,B9J08_005080,B9J08_005080-t37_1,hypothetical protein,167,11,0,Lipoprotein,0.1532083475341309,Lipoprotein [0.1532] | Transcriptional regulator [0.0382] | Conserved domain protein [0.0292] | Group-specific protein [0.0275] | Orphan protein [0.0104] | DUF4349 domain-containing protein [0.0095] | DNA repair ATPase [0.0093] | Orphan protein membrane protein [0.0086] | DNA repair protein [0.0085] | Hypothetical membrane protein [0.0068],False,False,False,False,GO:0008150,biological_process,0.8941,1,GO:0008152,metabolic process,0.6984,4,17,12,5,metabolic process | organic substance metabolic process | cellular metabolic process | integral component of membrane | intrinsic component of membrane | organic substance biosynthetic process | primary metabolic process | organonitrogen compound metabolic process | transmembrane transporter activity | nitrogen compound metabolic process | phosphorus metabolic process | biosynthetic process,True,True,True,3,10,10,1,0.1,conserved domain protein | dna repair atpase | dna repair protein | duf4349 domain containing protein | group specific protein | hypothetical membrane protein | lipoprotein | orphan protein | orphan protein membrane protein | transcriptional regulator,lipoprotein | transcriptional regulator | conserved domain protein | group specific protein | orphan protein | duf4349 domain containing protein | dna repair atpase | orphan protein membrane protein | dna repair protein | hypothetical membrane protein,,False,"(8.0, 17.0]","(65.999, 173.0]"
B9J08_001437,B9J08_001437,B9J08_001437-t37_1,hypothetical protein,257,18,0,Outer membrane lipoprotein-sorting protein,0.153130380704513,Outer membrane lipoprotein-sorting protein [0.1531] | DUF3108 domain-containing protein [0.0632] | PAP_fibrillin domain-containing protein [0.0540] | Ribonuclease P protein subunit p40 [0.0204] | ADPrib_exo_Tox domain-containing protein [0.0155] | Ribonuclease Z [0.0146] | LPP domain-containing protein [0.0132] | Virulence protein [0.0090] | Lipid-binding hydrolase [0.0080] | Outer membrane lipoprotein [0.0067],False,False,False,False,GO:0008150,biological_process,0.8063,1,GO:0006807,nitrogen compound metabolic process,0.5232,6,18,11,2,nitrogen compound metabolic process | metabolic process | organic substance metabolic process | small molecule binding | cellular metabolic process | ion binding | anion binding | periplasmic space | macromolecule metabolic process | cell motility | lyase activity,True,True,True,3,10,10,1,0.1,adprib exo tox domain containing protein | duf3108 domain containing protein | lipid binding hydrolase | lpp domain containing protein | outer membrane lipoprotein | outer membrane lipoprotein sorting protein | pap fibrillin domain containing protein | ribonuclease p protein subunit p40 | ribonuclease z | virulence protein,outer membrane lipoprotein sorting protein | duf3108 domain containing protein | pap fibrillin domain containing protein | ribonuclease p protein subunit p40 | adprib exo tox domain containing protein | ribonuclease z | lpp domain containing protein | virulence protein | lipid binding hydrolase | outer membrane lipoprotein,,False,"(17.0, 22.0]","(173.0, 289.0]"
B9J08_005277,B9J08_005277,B9J08_005277-t37_1,hypothetical protein,241,20,0,Hint domain-containing protein,0.1513265129519083,Hint domain-containing protein [0.1513] | SH3 domain-containing protein [0.0492] | HintN domain-containing protein [0.0261] | Asp_Arg_Hydrox domain-containing protein [0.0132] | SET domain-containing protein [0.0121] | NMD3 domain-containing protein [0.0086] | Galectin [0.0081] | Galectin domain-containing protein [0.0080] | PTX3 [0.0068] | SH3_6 domain-containing protein [0.0066],False,False,False,False,GO:0005488,binding,0.6832,1,GO:0030246,carbohydrate binding,0.6322,3,18,14,4,carbohydrate binding | cell-cell recognition | protein binding | cell recognition | molecular template activity | sperm-egg recognition | extracellular region | membrane | multi-organism process | regulation of localization | protein-containing complex | monosaccharide binding | mannose binding | interspecies interaction between organisms,True,True,True,3,10,10,1,0.1,asp arg hydrox domain containing protein | galectin | galectin domain containing protein | hint domain containing protein | hintn domain containing protein | nmd3 domain containing protein | ptx3 | set domain containing protein | sh3 6 domain containing protein | sh3 domain containing protein,hint domain containing protein | sh3 domain containing protein | hintn domain containing protein | asp arg hydrox domain containing protein | set domain containing protein | nmd3 domain containing protein | galectin | galectin domain containing protein | ptx3 | sh3 6 domain containing protein,,False,"(17.0, 22.0]","(173.0, 289.0]"
B9J08_003818,B9J08_003818,B9J08_003818-t37_1,hypothetical protein,281,33,1,Ribosome biogenesis protein SLX9,0.1486011375723897,Ribosome biogenesis protein SLX9 [0.1486] | RAD51_interact domain-containing protein [0.0686] | Ribosomal RNA-processing protein 8 [0.0570] | Hypothetical_protein [0.0246] | Centromere protein U [0.0245] | Mif2_N domain-containing protein [0.0190] | CENP-C_C domain-containing protein [0.0119] | DNA replication regulator SLD2 [0.0103] | Conserved leucine-rich repeat protein [0.0088] | Ribosomal RNA processing Brix domain protein [0.0029],False,False,False,False,GO:0005575,cellular_component,0.9674,1,GO:0044424,intracellular part,0.9166,3,20,14,14,intracellular part | intracellular organelle | nucleus | intracellular membrane-bounded organelle | negative regulation of metabolic process | negative regulation of macromolecule metabolic process | cytoplasm | negative regulation of biosynthetic process | regulation of metabolic process | negative regulation of cellular biosynthetic process | regulation of biological process | regulation of macromolecule metabolic process | organelle part | negative regulation of gene expression,True,True,True,3,10,10,1,0.1,cenp c c domain containing protein | centromere protein u | conserved leucine rich repeat protein | dna replication regulator sld2 | hypothetical protein | mif2 n domain containing protein | rad51 interact domain containing protein | ribosomal rna processing brix domain protein | ribosomal rna processing protein 8 | ribosome biogenesis protein slx9,ribosome biogenesis protein slx9 | rad51 interact domain containing protein | ribosomal rna processing protein 8 | hypothetical protein | centromere protein u | mif2 n domain containing protein | cenp c c domain containing protein | dna replication regulator sld2 | conserved leucine rich repeat protein | ribosomal rna processing brix domain protein,,False,"(22.0, 1864.0]","(173.0, 289.0]"
B9J08_002319,B9J08_002319,B9J08_002319-t37_1,hypothetical protein,489,19,1,Reverse transcriptase domain-containing protein,0.1455004550238964,Reverse transcriptase domain-containing protein [0.1455] | Retrovirus-related Pol polyprotein from transposon TNT 1-94 [0.0441] | Signal peptide protein [0.0211] | Integrase catalytic domain-containing protein [0.0205] | CDT1 domain-containing protein [0.0135] | Reverse transcriptase Ty1/copia-type domain-containing protein [0.0121] | Nucleoporin [0.0088] | Signal transducer and activator of transcription [0.0079] | Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM [0.0074] | Conserved oligomeric Golgi complex subunit 3 [0.0071],False,False,False,False,GO:0005575,cellular_component,0.8414,1,GO:0044424,intracellular part,0.7734,3,17,8,4,intracellular part | cellular metabolic process | organic substance metabolic process | intracellular organelle | primary metabolic process | metabolic process | intracellular membrane-bounded organelle | nucleobase-containing compound metabolic process,True,True,True,3,10,10,1,0.1,cdt1 domain containing protein | conserved oligomeric golgi complex subunit 3 | integrase catalytic domain containing protein | nucleoporin | retrovirus related pol polyprotein from transposon tnt 1 94 | retrovirus related pol polyprotein from type 2 retrotransposable element r2dm | reverse transcriptase domain containing protein | reverse transcriptase ty1/copia type domain containing protein | signal peptide protein | signal transducer and activator of transcription,reverse transcriptase domain containing protein | retrovirus related pol polyprotein from transposon tnt 1 94 | signal peptide protein | integrase catalytic domain containing protein | cdt1 domain containing protein | reverse transcriptase ty1/copia type domain containing protein | nucleoporin | signal transducer and activator of transcription | retrovirus related pol polyprotein from type 2 retrotransposable element r2dm | conserved oligomeric golgi complex subunit 3,,False,"(17.0, 22.0]","(433.0, 1649.0]"
B9J08_001480,B9J08_001480,B9J08_001480-t37_1,hypothetical protein,669,3,0,DUF3715 domain-containing protein,0.1435783246128317,DUF3715 domain-containing protein [0.1436] | DUF3883 domain-containing protein [0.0867] | DUF2146 family protein [0.0186] | DUF1801 domain-containing protein [0.0165] | DUF4806 domain-containing protein [0.0149] | BAH domain-containing protein [0.0137] | DEP domain-containing protein [0.0096] | DUF4388 domain-containing protein [0.0082] | UPF0378 protein KIAA0100 [0.0063] | Si:ch211-166a6.5 [0.0044],False,False,False,False,GO:0008150,biological_process,0.9004,1,GO:0044237,cellular metabolic process,0.7193,4,18,11,11,cellular metabolic process | regulation of biological process | metabolic process | phosphate-containing compound metabolic process | regulation of cellular process | phosphorus metabolic process | organic substance metabolic process | organophosphate metabolic process | organophosphate biosynthetic process | primary metabolic process | signal transduction,True,True,True,3,10,10,1,0.1,bah domain containing protein | dep domain containing protein | duf1801 domain containing protein | duf2146 family protein | duf3715 domain containing protein | duf3883 domain containing protein | duf4388 domain containing protein | duf4806 domain containing protein | si:ch211 166a6.5 | upf0378 protein kiaa0100,duf3715 domain containing protein | duf3883 domain containing protein | duf2146 family protein | duf1801 domain containing protein | duf4806 domain containing protein | bah domain containing protein | dep domain containing protein | duf4388 domain containing protein | upf0378 protein kiaa0100 | si:ch211 166a6.5,,False,"(-0.001, 8.0]","(433.0, 1649.0]"
